Date,Open,High,Low,Close,AdjClose,Volume
2025-01-02,118.0100,118.3600,116.6400,117.2700,114.6131,4057000
2025-01-03,117.8100,118.6400,117.5700,118.4900,115.8054,2191900
2025-01-06,119.5300,120.1000,119.0300,119.3100,116.6069,3330900
2025-01-07,119.8200,119.9000,117.8100,118.1600,115.4829,15707400
2025-01-08,117.8000,118.3800,117.4300,118.1700,115.4927,2782700
2025-01-10,117.4500,117.4500,116.0400,116.3700,113.7335,4178300
2025-01-13,115.2800,116.3700,115.0500,116.3500,113.7139,2217500
2025-01-14,117.0000,117.0500,116.0100,116.6800,114.0364,1798300
2025-01-15,118.3700,118.8200,118.0500,118.5800,115.8934,2160000
2025-01-16,118.8800,118.9900,118.3900,118.5900,115.9032,4808300
2025-01-17,119.4300,119.8700,119.2500,119.6000,116.8903,1391100
2025-01-21,120.4000,120.9700,120.0700,120.9600,118.2195,2330400
2025-01-22,121.6900,121.7000,121.3100,121.4000,118.6495,2224100
2025-01-23,121.2900,122.0700,121.2300,122.0700,119.3043,2041900
2025-01-24,122.3000,122.4800,121.8700,122.0600,119.2946,1253100
2025-01-27,119.7800,120.7400,119.7800,120.6000,117.8676,5934800
2025-01-28,120.7000,121.5500,120.2500,121.4000,118.6495,1527600
2025-01-29,121.2400,121.4800,120.5900,121.0400,118.2977,1495600
2025-01-30,121.6600,122.4100,121.4200,121.9700,119.2066,2623100
2025-01-31,122.3500,122.7900,121.1000,121.1900,118.4443,2871000
2025-02-03,119.3800,120.6800,118.9200,120.2100,117.4865,3330800
2025-02-04,120.5500,121.4400,120.4700,121.3000,118.5518,2030500
2025-02-05,121.4300,121.9400,120.9500,121.8900,119.1284,2394500
2025-02-06,122.2800,122.3400,121.7200,122.3100,119.5389,1145200
2025-02-07,122.5700,122.7600,121.2300,121.3300,118.5811,2692700
2025-02-10,122.1600,122.3200,121.8100,122.3100,119.5389,1794500
2025-02-11,121.9500,122.4900,121.7600,122.3300,119.5584,2912800
2025-02-12,121.4300,122.4900,121.1500,122.2200,119.4509,1542000
2025-02-13,122.7100,123.6400,122.2700,123.6400,120.8388,1946800
2025-02-14,124.0200,124.0200,123.5300,123.6200,120.8192,1850600
