Date,Open,High,Low,Close,AdjClose,Volume
2026-06-30,1915.5000,1999.9600,1913.8800,1989.4399,1986.8704,2712600
2026-07-01,1916.2800,1943.0000,1832.6300,1843.0400,1840.6595,2584700
2026-07-02,1843.9800,1858.4000,1748.0200,1769.3199,1767.0347,2699100
2026-07-06,1830.0000,1868.6000,1813.3300,1825.0699,1822.7126,1945000
2026-07-07,1737.1300,1761.0400,1717.3101,1747.2800,1745.0232,1863900
2026-07-08,1733.6801,1780.6600,1729.3800,1768.6500,1766.3656,1424500
2026-07-09,1835.4600,1858.7300,1796.7600,1804.2500,1801.9196,1547400
2026-07-10,1783.8800,1815.1801,1766.6600,1797.3199,1794.9984,1218400
2026-07-13,1773.5400,1775.7900,1718.0800,1726.0400,1723.8107,1419800
2026-07-14,1787.4500,1798.2700,1749.8600,1775.6400,1773.3466,2529100
2026-07-15,1825.0601,1830.0000,1735.6500,1815.2700,1812.9254,4189300
2026-07-16,1796.9100,1853.4500,1779.1200,1784.8700,1782.5646,2581400
2026-07-17,1733.7800,1790.9100,1703.4000,1747.5800,1745.3228,2209400
2026-07-20,1778.6899,1798.3400,1728.6000,1739.0200,1736.7738,1639000
2026-07-21,1801.2000,1823.8800,1785.5400,1801.5100,1799.1831,1681100
2026-07-22,1767.6500,1817.2000,1767.0400,1801.8600,1799.5326,1007400
2026-07-23,1782.1200,1823.5800,1780.2400,1803.0000,1800.6711,1106700
2026-07-24,1789.8800,1797.8700,1739.8800,1757.0900,1754.8204,1315000
2026-07-27,1739.1899,1746.7000,1613.3400,1655.2600,1653.1221,3325500
2026-07-28,1580.5000,1599.8800,1553.5800,1582.9500,1582.9500,3010100
2026-07-29,1569.3900,1621.4600,1530.6400,1550.6899,1550.6899,2538800
2026-07-30,1645.0699,1676.7800,1626.4399,1651.4399,1651.4399,2170500
2026-07-31,1683.3800,1692.1500,1624.7100,1629.0000,1629.0000,1601400
2026-08-03,1609.6899,1655.2000,1582.0000,1642.5200,1642.5200,1437400
2026-08-04,1700.0400,1717.5601,1686.0100,1711.8900,1711.8900,1526700
2026-08-05,1700.4200,1729.0601,1671.7500,1678.2200,1678.2200,1221000
2026-08-06,1695.3900,1735.5300,1672.1100,1704.3700,1704.3700,1072500
2026-08-07,1759.7100,1761.3101,1720.1100,1740.9900,1740.9900,1064900
2026-08-10,1793.0100,1794.4700,1732.8101,1733.4800,1733.4800,1107000
2026-08-11,1793.9301,1819.5900,1778.3199,1799.3800,1799.3800,1479700
2026-08-12,1832.6300,1845.0000,1807.3800,1810.0699,1810.0699,1388800
2026-08-13,1819.0699,1873.6899,1813.3000,1847.9000,1847.9000,1237900
2026-08-14,1839.1899,1853.3199,1820.4100,1844.0800,1844.0800,929000
2026-08-17,1871.6801,1896.3500,1860.1200,1883.1200,1883.1200,1285400
2026-08-18,1809.0000,1820.4100,1775.7000,1802.9800,1802.9800,1509300
2026-08-19,1797.7200,1804.2800,1748.8500,1751.7300,1751.7300,1463600
2026-08-20,1743.7600,1775.8199,1741.0200,1750.3101,1750.3101,825400
2026-08-21,1763.5100,1771.0000,1741.0000,1763.7600,1763.7600,972400
2026-08-24,1761.5601,1761.9800,1727.5699,1740.1300,1740.1300,1202000
2026-08-25,1759.1500,1769.9900,1735.8700,1744.1600,1744.1600,808900
2026-08-26,1746.3300,1761.7100,1732.3500,1745.6400,1745.6400,873500
2026-08-27,1746.5300,1751.7800,1719.1100,1735.0100,1735.0100,1027200
2026-08-28,1734.7500,1740.0000,1692.8800,1696.1600,1696.1600,1257700
2026-08-31,1708.6801,1716.9000,1679.3300,1696.0100,1696.0100,1212100
2026-09-01,1680.7400,1684.0000,1651.2100,1665.1400,1665.1400,1004800
2026-09-02,1672.2100,1688.6600,1650.2000,1682.3000,1682.3000,872800
2026-09-03,1642.3900,1656.3101,1619.3400,1646.1899,1646.1899,1437500
2026-09-04,1678.7400,1721.6600,1675.9301,1714.8800,1714.8800,1288700
2026-09-08,1774.3500,1790.0000,1743.0900,1764.8500,1764.8500,
2026-09-09,1727.7200,1750.8900,1722.9200,1729.5200,1729.5200,
2026-09-10,1688.5100,1716.6300,1681.5800,1687.4300,1687.4300,
2026-09-11,1726.8700,1727.3099,1696.2100,1698.3000,1698.3000,
