Date,Open,High,Low,Close,AdjClose,Volume
2026-08-05,213.2600,216.0000,207.7400,209.0600,209.0600,33800
2026-08-06,204.8200,212.2200,201.7900,207.4400,207.4400,59000
2026-08-07,208.5500,209.7400,203.5500,206.6600,206.6600,123700
2026-08-10,214.4900,215.5700,211.7000,211.7000,211.7000,65700
2026-08-11,213.6800,217.6800,213.3200,215.1300,215.1300,40800
2026-08-12,222.9700,225.0000,221.3900,222.7800,222.7800,46400
2026-08-13,226.3100,234.0000,225.5500,231.4800,231.4800,107200
2026-08-14,235.0000,235.0000,230.0400,231.0800,231.0800,67400
2026-08-17,235.8900,240.8900,235.8900,237.4400,237.4400,78000
2026-08-18,224.2500,224.2500,215.9900,217.2500,217.2500,56900
2026-08-19,232.0100,232.8500,226.4500,230.6000,230.6000,68200
2026-08-20,218.4300,222.4100,216.5100,218.5600,218.5600,88500
2026-08-21,225.2900,228.2900,222.0800,225.0700,225.0700,75000
2026-08-24,216.7000,216.8300,211.0900,215.1100,215.1100,59200
2026-08-25,219.4600,219.4600,214.7600,216.1500,216.1500,60000
2026-08-26,219.4300,224.7800,219.4300,222.9000,222.9000,45900
2026-08-27,219.6800,220.1200,215.0300,218.9200,218.9200,84300
2026-08-28,221.6200,222.6100,213.7700,214.7000,214.7000,48200
2026-08-31,210.0000,211.6100,207.7400,209.4300,209.4300,64000
2026-09-01,200.8000,205.5900,200.0100,200.8500,200.8500,55700
2026-09-02,205.0900,206.5000,202.0200,206.0000,206.0000,189700
2026-09-03,205.7600,210.9100,203.6000,209.9700,209.9700,47900
2026-09-04,209.0000,218.6900,209.0000,217.5800,217.5800,31200
2026-09-08,209.0000,218.6900,209.0000,217.5750,217.5750,
2026-09-09,218.0000,224.5000,217.9700,220.0900,220.0900,
2026-09-10,213.1600,215.4550,210.0600,210.4200,210.4200,
2026-09-11,213.0001,215.6300,211.9000,212.5800,212.5800,
