Date,Open,High,Low,Close,AdjClose,Volume
2026-01-28,25.3000,25.3600,24.9900,25.1400,24.3790,1704600
2026-01-29,25.6800,25.7300,24.8900,25.4400,24.6699,2001400
2026-01-30,25.6000,25.7200,25.2400,25.4200,24.6506,1312800
2026-02-02,25.5400,25.9600,25.5400,25.9300,25.1451,1348000
2026-02-03,25.9000,26.0500,25.4800,25.6500,24.8736,2345200
2026-02-04,26.0300,26.2000,25.4000,25.6700,24.8930,1961600
2026-02-05,23.8800,24.1700,23.1500,23.2000,22.4978,5533400
2026-02-06,23.9500,24.1000,23.6600,24.0900,23.3608,5636100
2026-02-09,24.2900,24.6700,24.1800,24.5800,23.8360,2048300
2026-02-10,24.6700,24.6900,24.3000,24.5500,23.8069,1307900
2026-02-11,24.1500,24.2300,23.6900,24.0800,23.3511,1663600
2026-02-12,23.9100,23.9400,23.2100,23.3300,22.6238,1539800
2026-02-13,22.6500,22.8500,22.5000,22.7300,22.0420,8819700
2026-02-17,22.8500,23.1400,22.8400,23.1100,22.4105,1926700
2026-02-18,23.3500,23.5800,23.3300,23.4900,22.7790,1268700
2026-02-19,23.0200,23.2400,22.9500,23.2000,22.4978,1056600
2026-02-20,23.1600,23.5300,23.1100,23.5100,22.7984,1214500
2026-02-23,23.9000,23.9900,23.4200,23.6900,22.9729,2482200
2026-02-24,23.1100,23.5900,23.0300,23.5300,22.8178,2888700
2026-02-25,23.5500,23.8100,23.5100,23.7700,23.0505,2843800
2026-02-26,23.5900,23.7400,23.4500,23.6600,22.9438,1790900
2026-02-27,23.5500,23.5800,22.9600,23.1300,22.4299,1883200
2026-03-02,22.1500,22.3700,22.0100,22.2400,21.5668,2778100
2026-03-03,20.8000,21.1200,20.5100,20.8800,20.2480,4125400
2026-03-04,21.7000,22.1000,21.6400,22.0500,21.3826,2131500
2026-03-05,21.7300,21.8800,21.3100,21.5300,20.8783,2556500
2026-03-06,21.0500,21.4500,20.8100,21.3200,20.6747,1537200
2026-03-09,20.8900,21.6700,20.6200,21.5700,20.9171,2086200
2026-03-10,21.7900,22.4300,21.6500,21.9600,21.2953,1913300
2026-03-11,21.7400,21.9700,21.6100,21.8800,21.2177,1527500
2026-03-12,20.8700,21.0200,20.4700,20.8200,20.1898,2104700
2026-03-13,20.8400,20.9800,20.3700,20.4500,19.8310,1616000
2026-03-16,20.7600,21.0200,20.7300,20.9200,20.2868,1993000
2026-03-17,21.1200,21.2300,20.7300,20.8800,20.2480,1384100
2026-03-18,20.9500,21.1200,20.7500,20.7700,20.1413,1804800
2026-03-19,20.2600,21.0500,20.2500,20.9400,20.3062,2387500
2026-03-20,21.1000,21.1000,20.3700,20.5400,19.9183,3153300
2026-03-23,21.0800,21.8100,21.0800,21.4400,20.7910,3033100
2026-03-24,20.8400,21.5200,20.7300,21.3500,20.7038,4941400
2026-03-25,21.7100,21.7900,21.3900,21.4900,20.8395,2460500
2026-03-26,21.1700,21.3300,20.9200,20.9200,20.2868,1226400
2026-03-27,20.6300,20.8700,20.3200,20.4200,19.8019,1635200
2026-03-30,20.6200,20.6900,20.2600,20.3300,19.7146,2404800
2026-03-31,20.9300,21.6600,20.8800,21.6600,21.0044,1871900
2026-04-01,21.9100,22.0100,21.6900,21.8200,21.1595,1059200
2026-04-02,21.2400,21.9200,21.0800,21.9200,21.2565,1502700
2026-04-06,22.1000,22.1000,21.8200,21.8200,21.1595,1501700
2026-04-07,21.8800,22.2800,21.7100,22.2200,21.5474,1782400
2026-04-08,23.8000,23.8500,23.2000,23.3900,22.6820,1365700
2026-04-09,22.4300,22.7700,22.3100,22.7000,22.7000,4317600
2026-04-10,23.1000,23.2300,22.9900,23.0600,23.0600,1305500
2026-04-13,22.8400,23.4300,22.8400,23.4200,23.4200,3738600
2026-04-14,23.5300,23.7400,23.5100,23.6100,23.6100,1236500
2026-04-15,23.3400,23.4100,23.2400,23.3100,23.3100,979900
2026-04-16,23.2800,23.3400,22.8900,22.9700,22.9700,935700
2026-04-17,23.8500,24.1400,23.7800,23.8500,23.8500,1023600
2026-04-20,23.2700,23.3100,22.9700,23.2000,23.2000,2338500
2026-04-21,22.9200,23.0100,22.3900,22.4700,22.4700,2161100
2026-04-22,22.4500,22.4500,22.2400,22.2900,22.2900,1394400
2026-04-23,21.9100,21.9800,21.3600,21.6200,21.6200,4039000
2026-04-24,21.6700,21.9200,21.6000,21.8700,21.8700,1108000
2026-04-27,21.9200,22.0500,21.7200,22.0100,22.0100,1953600
2026-04-28,21.9500,22.0700,21.9100,22.0500,22.0500,1451300
2026-04-29,21.9300,21.9300,21.2500,21.2900,21.2900,1778600
2026-04-30,21.8000,22.1200,21.7200,22.1200,22.1200,1646900
2026-05-01,21.7500,22.1800,21.7500,22.0000,22.0000,740300
2026-05-04,21.2100,21.2600,20.7000,20.8300,20.8300,1952500
2026-05-05,21.1800,21.4300,21.1700,21.3900,21.3900,1001000
2026-05-06,22.1400,22.2300,22.0500,22.1600,22.1600,962700
2026-05-07,22.3400,22.4100,21.8100,21.8700,21.8700,1693100
2026-05-08,22.4200,22.5200,22.2100,22.2800,22.2800,1108700
2026-05-11,22.2900,22.2900,21.9000,21.9400,21.9400,1380500
2026-05-12,21.7200,21.8500,21.6300,21.8100,21.8100,1612000
2026-05-13,21.5100,21.9000,21.5100,21.8000,21.8000,1423600
2026-05-14,22.0900,22.2100,21.8900,21.9500,21.9500,1492600
2026-05-15,21.8300,21.9900,21.7800,21.8900,21.8900,1368400
2026-05-18,21.9700,22.1500,21.8300,22.0400,22.0400,1785500
2026-05-19,21.8700,22.0000,21.6100,21.6300,21.6300,2065400
2026-05-20,21.9900,22.7800,21.9900,22.7300,22.7300,1717800
2026-05-21,22.4300,22.7600,22.0000,22.7100,22.7100,1517400
2026-05-22,22.6400,22.6600,22.2700,22.3700,22.3700,1386900
2026-05-26,23.2900,23.4200,23.1100,23.2500,23.2500,1251000
2026-05-27,23.3900,23.4700,23.2500,23.2700,23.2700,1288300
2026-05-28,22.9000,23.3100,22.8900,23.1300,23.1300,1446700
2026-05-29,23.5100,23.6700,23.3100,23.3900,23.3900,1022200
2026-06-01,22.8200,23.2800,22.7700,23.1700,23.1700,1656800
2026-06-02,23.1500,23.3200,23.0600,23.2900,23.2900,1120600
2026-06-03,23.0200,23.0200,22.5700,22.6500,22.6500,1164000
2026-06-04,22.8800,22.9100,22.6800,22.8300,22.8300,1463800
2026-06-05,22.6700,22.6700,22.0900,22.2200,22.2200,2052700
2026-06-08,22.5800,22.6500,22.2600,22.3700,22.3700,2052200
2026-06-09,22.8300,22.8400,22.1000,22.5300,22.5300,1410600
2026-06-10,22.3800,22.4600,22.0100,22.0200,22.0200,2490100
2026-06-11,22.1500,23.1800,22.1000,23.1500,23.1500,3420200
2026-06-12,23.1300,23.3700,23.0100,23.3400,23.3400,3600900
2026-06-15,23.9700,24.0000,23.7700,23.8300,23.8300,1674800
2026-06-16,24.3200,24.6100,24.3200,24.3900,24.3900,1554800
2026-06-17,24.9000,25.1000,24.4300,24.4700,24.4700,1577200
2026-06-18,24.5800,24.7800,24.4600,24.4800,24.4800,2564400
2026-06-22,24.9500,25.0000,24.7300,24.8500,24.8500,1948300
2026-06-23,24.6200,24.8000,24.5500,24.6100,24.6100,1668800
2026-06-24,24.2000,24.2700,23.9800,24.1600,24.1600,1651500
2026-06-25,24.4400,24.7300,24.3100,24.5300,24.5300,1206300
2026-06-26,24.4800,24.5700,24.2400,24.3700,24.3700,1203400
2026-06-29,24.4600,24.7100,24.4000,24.7100,24.7100,1206100
2026-06-30,24.7400,25.0700,24.6500,25.0600,25.0600,1238100
2026-07-01,24.7800,25.0300,24.7400,24.9800,24.9800,795600
2026-07-02,25.7300,25.8600,25.4300,25.6000,25.6000,1061100
2026-07-06,25.8800,26.1400,25.8100,26.1400,26.1400,1591300
2026-07-07,26.3100,26.4000,25.9300,26.0700,26.0700,1781300
2026-07-08,25.2400,25.3400,24.8900,25.3200,25.3200,1060000
2026-07-09,25.4000,25.4700,25.1000,25.3600,25.3600,1491200
2026-07-10,25.6700,25.8100,25.4900,25.6900,25.6900,1044200
2026-07-13,25.6900,25.7300,25.3100,25.3900,25.3900,1033100
2026-07-14,25.6300,25.9700,25.5800,25.6700,25.6700,1114600
2026-07-15,25.4600,25.5900,25.2000,25.5400,25.5400,1088700
2026-07-16,25.4600,25.8500,25.4200,25.7000,25.7000,1523200
2026-07-17,24.9300,25.2700,24.9000,25.1400,25.1400,864800
2026-07-20,25.2400,25.3700,25.0900,25.1200,25.1200,915900
2026-07-21,25.6100,25.7900,25.5000,25.6600,25.6600,753400
2026-07-22,26.2100,26.3500,26.1300,26.2300,26.2300,1131800
2026-07-23,25.4300,25.4600,25.1900,25.3100,25.3100,790500
2026-07-24,25.7700,26.0300,25.7500,25.9500,25.9500,993200
2026-07-27,26.4200,26.5900,26.3100,26.5900,26.5900,1140000
2026-07-28,26.2500,26.5700,26.1800,26.5200,26.5200,1073900
2026-07-29,25.9600,26.1900,25.6500,25.6600,25.6600,1412800
2026-07-30,27.2800,27.6000,27.1700,27.6000,27.6000,3161700
2026-07-31,27.7300,28.0500,27.5000,27.9500,27.9500,2253900
2026-08-03,28.1900,28.3900,28.1200,28.3600,28.3600,1901200
2026-08-04,28.3000,28.4800,27.9300,28.1200,28.1200,1845800
2026-08-05,28.0900,28.2100,27.9100,28.0700,28.0700,3415100
2026-08-06,28.6000,28.6500,28.1000,28.1400,28.1400,2371800
2026-08-07,28.5800,28.6200,28.2900,28.3500,28.3500,1596900
2026-08-10,28.5400,28.5800,28.3500,28.3500,28.3500,1294500
2026-08-11,28.6700,28.7400,28.4700,28.5000,28.5000,1574800
2026-08-12,28.6700,28.7000,28.4800,28.5000,28.5000,1861500
2026-08-13,28.9000,28.9400,28.6100,28.6500,28.6500,2449300
2026-08-14,28.7800,28.8600,28.6900,28.7000,28.7000,1896400
2026-08-17,28.8200,28.9000,28.6900,28.8000,28.8000,2453600
2026-08-18,29.0200,29.1100,28.7200,28.7900,28.7900,1056400
2026-08-19,28.9000,28.9300,28.5200,28.5300,28.5300,1731400
2026-08-20,28.6000,28.7400,28.4700,28.6300,28.6300,1626900
2026-08-21,28.9000,29.1300,28.8600,29.0400,29.0400,1371900
2026-08-24,29.0800,29.3200,29.0700,29.2100,29.2100,1242000
2026-08-25,28.8800,28.9500,28.6300,28.9500,28.9500,985900
2026-08-26,29.2000,29.2000,28.9900,29.0300,29.0300,1245700
2026-08-27,28.9300,28.9600,28.6700,28.6900,28.6900,900000
2026-08-28,28.9900,29.0700,28.8700,29.0000,29.0000,1741200
2026-08-31,29.1500,29.1800,28.9000,28.9600,28.9600,801000
2026-09-01,28.9500,29.0600,28.5900,28.6400,28.6400,1240000
2026-09-02,29.0400,29.1800,28.9400,29.1600,29.1600,974200
2026-09-03,29.4300,29.6400,29.3100,29.6400,29.6400,1203800
2026-09-04,29.2700,29.5600,29.2700,29.5100,29.5100,743100
2026-09-08,29.4100,29.4650,29.2500,29.2900,29.2900,
2026-09-09,28.9600,29.1300,28.8700,29.0800,29.0800,
