Date,Open,High,Low,Close,AdjClose,Volume
2025-01-15,125.9000,127.7800,125.3600,127.2000,118.5602,36700
2025-01-16,127.0300,128.3500,127.0300,128.1500,119.4457,33900
2025-01-17,132.0000,132.0000,128.9000,128.9900,120.2286,72600
2025-01-21,122.6000,133.0000,122.6000,128.8500,120.0982,47500
2025-01-22,133.7000,133.7000,127.6100,127.7000,119.0263,42400
2025-01-23,126.0100,129.9900,126.0000,128.9900,120.2286,42900
2025-01-24,129.5000,129.5000,124.9000,129.0400,120.2752,46100
2025-01-27,130.9500,130.9500,125.6600,129.7100,120.8997,38800
2025-01-28,130.0000,130.5000,129.5100,130.5000,121.6361,29900
2025-01-29,130.5000,131.2000,129.5000,129.9800,121.1514,42100
2025-01-30,133.0000,133.0000,129.1100,130.9800,122.0835,29800
2025-01-31,128.4400,131.7900,128.4400,130.7400,121.8598,33400
2025-02-03,129.1000,130.7700,129.0100,130.4000,121.5429,36200
2025-02-04,137.8100,137.8100,131.0600,131.7300,122.7825,25400
2025-02-05,138.0200,138.0200,131.1500,131.3200,122.4004,24500
2025-02-06,124.5000,137.6700,124.5000,131.4600,122.5309,48200
2025-02-07,136.0000,136.5000,131.5600,132.0000,123.0342,31900
2025-02-10,139.9000,139.9000,133.6100,133.9000,124.8051,40000
2025-02-11,132.2400,134.1300,132.2400,133.7500,124.6653,120600
2025-02-12,131.9800,133.4800,130.9300,133.3500,124.2925,77800
2025-02-13,133.0000,134.3000,133.0000,134.3000,125.1780,27700
2025-02-14,130.5000,134.9000,130.5000,133.9500,124.8517,31600
2025-02-18,138.4500,138.4500,136.0000,136.8700,127.5734,25700
2025-02-19,136.7500,137.2900,135.9700,136.1800,126.9303,66700
2025-02-20,135.6100,138.0600,135.1100,137.8100,128.4496,41600
2025-02-21,139.0000,139.6700,138.0100,139.4000,129.9316,33600
2025-02-24,138.7000,138.7000,137.9100,138.5300,129.1206,44100
2025-02-25,133.1600,143.9900,133.1600,138.5600,129.1486,29900
2025-02-26,139.2100,140.4400,139.2100,139.7000,130.2112,34500
2025-02-27,134.3800,143.2900,134.3800,137.5500,128.2072,24000
2025-02-28,136.6400,136.6400,135.5500,136.5700,127.2938,36500
2025-03-03,140.0000,140.0000,135.5200,135.8000,126.5761,23100
2025-03-04,142.1100,142.1100,135.3200,136.4400,127.1726,58100
2025-03-05,137.4300,138.7600,137.1400,137.8000,128.4402,31100
2025-03-06,137.5500,138.4400,136.6500,137.0000,127.6946,54800
2025-03-07,138.0600,138.4900,137.2600,138.4700,129.0647,37000
2025-03-10,138.2500,138.5000,136.4200,136.5300,127.2565,22000
2025-03-11,134.6400,136.0500,132.1800,133.0000,123.9663,57900
2025-03-12,133.8000,135.6500,133.0800,134.3000,125.1780,68200
2025-03-13,134.8500,137.9500,132.1200,132.4900,123.4909,31100
2025-03-14,134.9000,138.8700,132.5600,133.2700,124.2179,26600
2025-03-17,132.7800,134.3100,132.7800,134.0100,124.9077,27300
2025-03-18,129.0000,141.3300,129.0000,134.6600,125.5135,25300
2025-03-19,136.1600,137.8600,135.7700,136.3500,127.0887,25200
2025-03-20,134.8300,136.0400,134.8300,135.5400,126.3337,25500
2025-03-21,128.3200,136.3600,128.3200,135.5700,126.3617,39400
2025-03-24,135.0100,136.6900,135.0100,135.8300,126.6040,28000
2025-03-25,145.3500,145.3500,137.8300,137.9200,128.5521,23100
2025-03-26,144.8500,144.8500,137.7900,138.0200,128.6453,131100
2025-03-27,138.6000,139.1700,137.7200,138.6200,129.2045,63300
2025-03-28,140.6100,140.6100,137.4600,137.6200,128.2724,22600
2025-03-31,137.0000,137.6100,135.6100,137.4500,128.1140,29900
2025-04-01,135.8100,143.9900,135.8100,137.4200,128.0860,32700
2025-04-02,145.9500,145.9500,135.6100,138.0800,128.7012,21700
2025-04-03,135.5300,136.9600,135.2200,135.2600,126.0728,61500
2025-04-04,125.0000,131.0000,125.0000,125.8200,117.2739,41300
2025-04-07,114.0000,122.0300,114.0000,120.0100,111.8586,87800
2025-04-08,115.0000,118.0000,111.0200,111.8000,105.8127,95600
2025-04-09,112.2200,116.0000,109.3300,114.0000,107.8949,98200
2025-04-10,124.7600,124.7600,116.8600,117.7600,111.4535,80800
2025-04-11,119.7500,119.7500,115.8900,117.8100,111.5008,95300
2025-04-14,119.5300,120.7400,117.0000,118.4800,112.1349,115700
2025-04-15,121.2000,121.2100,119.7800,120.9500,114.4727,54500
2025-04-16,121.7300,122.4200,121.4600,122.2500,115.7031,65100
2025-04-17,123.3900,125.0000,123.2600,124.4900,117.8231,58300
2025-04-21,126.3500,128.8900,125.8500,126.5100,119.7349,43700
2025-04-22,125.1500,130.7900,125.1500,128.4100,121.5332,42600
2025-04-23,129.0100,131.3600,129.0100,129.5600,122.6216,46000
2025-04-24,130.0000,130.0000,129.2700,129.9300,122.9717,32600
2025-04-25,128.6600,129.6300,128.5700,129.4700,122.5364,20200
2025-04-28,128.3200,129.9900,128.3200,129.3300,122.4039,33600
2025-04-29,129.8800,134.8500,128.3200,129.3300,122.4039,60300
2025-04-30,135.0000,135.0000,129.1000,129.8900,122.9339,29900
2025-05-01,127.7100,130.0700,127.7100,130.0000,123.0380,36200
2025-05-02,132.7800,132.8300,131.8600,132.2600,125.1770,28600
2025-05-05,127.4700,134.1100,127.4700,133.6100,126.4547,179700
2025-05-06,126.4000,134.1700,126.4000,133.9100,126.7386,101700
2025-05-07,132.5200,132.7700,132.2500,132.2500,125.1675,28400
2025-05-08,132.5100,133.4900,132.5100,133.2200,126.0856,25700
2025-05-09,139.0000,139.0000,132.9000,135.0000,127.7702,50000
2025-05-12,135.8700,138.7700,133.8300,135.5500,128.2908,72800
2025-05-13,136.9400,136.9400,135.7000,136.7900,129.4644,54800
2025-05-14,138.3000,138.3000,136.1000,136.4000,129.0953,32900
2025-05-15,138.5000,139.8400,138.0000,139.8400,132.3510,35100
2025-05-16,139.8400,140.0900,138.0100,139.9000,132.4078,33700
2025-05-19,138.8800,138.8800,137.0800,137.9100,132.7293,46000
2025-05-20,136.4100,139.4200,134.1700,134.7500,129.6880,61100
2025-05-21,137.8400,137.8400,135.7700,136.8000,131.6610,40900
2025-05-22,135.5300,137.2700,135.5300,136.8900,131.7476,28000
2025-05-23,137.9700,138.7800,135.0600,138.4000,133.2009,23600
2025-05-27,139.4800,141.0000,138.1600,138.4500,133.2490,51900
2025-05-28,138.5100,140.3000,138.5100,139.7300,134.4809,33800
2025-05-29,135.2000,139.6600,135.2000,139.5400,134.2980,45000
2025-05-30,136.1000,139.6300,136.1000,138.0000,132.8159,34300
2025-06-02,136.8600,142.6900,136.8600,139.6900,134.4424,199000
2025-06-03,140.0000,140.0000,138.9800,139.4000,134.1633,78300
2025-06-04,140.0000,142.1500,139.5000,139.8900,134.6349,38700
2025-06-05,140.6900,140.6900,140.0300,140.2300,134.9621,18900
2025-06-06,146.9200,146.9200,139.7100,139.9700,134.7119,24300
2025-06-09,148.4400,148.4400,136.5000,141.7500,136.4250,23200
2025-06-10,147.0000,147.0000,140.0400,140.1700,134.9044,37200
2025-06-11,137.0200,143.4300,137.0200,139.7700,134.5194,19800
2025-06-12,138.9800,140.3100,138.9800,139.8000,134.5483,27400
2025-06-13,138.5000,139.7900,138.5000,138.9000,133.6821,21900
2025-06-16,139.0000,143.0000,138.1000,138.2000,133.0084,30100
2025-06-17,140.2000,140.2000,138.0000,138.2100,133.0180,29700
2025-06-18,137.2600,137.8400,137.2600,137.5000,132.3347,22400
2025-06-20,137.0000,137.0300,135.4900,135.5200,130.4291,250900
2025-06-23,132.0000,136.3900,132.0000,136.3900,131.2664,457400
2025-06-24,138.0000,139.0100,137.9600,138.7000,133.4896,407600
2025-06-25,139.2000,139.7000,139.0000,139.5500,134.3077,31500
2025-06-26,140.0700,140.7000,139.2100,139.7000,134.4520,50300
2025-06-27,139.5400,141.0000,139.5400,140.7800,135.4915,54900
2025-06-30,146.0000,146.0000,140.7200,141.5300,136.2133,34200
2025-07-01,142.0100,142.5100,141.4800,141.4900,136.1748,32400
2025-07-02,141.0000,141.0400,140.5200,140.7000,135.4145,27200
2025-07-03,141.4200,141.5100,141.0300,141.3600,136.0497,15000
2025-07-07,141.3700,145.6500,141.3700,143.1300,137.7532,137900
2025-07-08,143.7300,143.8300,142.6300,142.9000,137.5318,62500
2025-07-09,141.0000,143.5500,141.0000,142.9400,137.5703,39400
2025-07-10,144.8600,144.8600,143.0000,143.3500,137.9649,22800
2025-07-11,143.4300,144.0100,143.4300,143.5800,138.1863,41200
2025-07-14,151.1500,151.1500,141.5100,145.0500,139.6011,47800
2025-07-15,144.0000,144.0000,143.1300,143.3300,137.9457,47000
2025-07-16,150.6600,150.6600,143.3800,144.4200,138.9947,46200
2025-07-17,146.1800,146.1800,145.1200,145.8000,140.3229,32600
2025-07-18,146.6500,146.8300,146.3100,146.5300,141.0255,58500
2025-07-21,147.0000,147.6500,146.8600,146.9200,141.4008,32100
2025-07-22,151.1400,151.1400,147.2200,148.2700,142.7001,20400
2025-07-23,151.4400,151.8400,150.5400,151.7600,146.0590,22700
2025-07-24,155.0000,155.0000,151.5100,153.5800,147.8106,35600
2025-07-25,151.6000,153.6000,151.6000,153.4000,147.6374,30100
2025-07-28,150.8900,153.9500,150.8900,151.1800,145.5008,34700
2025-07-29,150.7500,151.0000,150.4400,150.8400,145.1736,26100
2025-07-30,154.7500,154.7500,148.0100,149.0000,143.4027,37500
2025-07-31,147.2300,147.8000,147.0000,147.4600,141.9205,33100
2025-08-01,142.0000,147.6000,142.0000,147.5500,142.0071,29500
2025-08-04,148.0000,149.2100,148.0000,149.2000,143.5952,38200
2025-08-05,149.0400,150.0000,149.0400,149.8500,144.2207,34400
2025-08-06,150.0800,152.0000,150.0800,151.7600,146.0590,21300
2025-08-07,154.0000,155.6600,152.4000,154.8300,149.0137,76100
2025-08-08,156.9100,158.2200,156.5000,157.8700,151.9395,183700
2025-08-11,158.7400,158.7400,157.5100,157.6000,151.6796,25300
2025-08-12,153.3500,160.3000,153.3500,159.7400,153.7392,37800
2025-08-13,160.5000,161.2800,160.2900,160.9000,154.8556,27400
2025-08-14,158.0000,159.6900,158.0000,159.3500,153.3639,23100
2025-08-15,162.4500,162.4500,157.6800,158.3900,152.4399,33400
2025-08-18,156.0000,156.0000,154.5500,155.0000,149.1773,21700
2025-08-19,155.0000,155.7500,155.0000,155.3700,149.5334,37200
2025-08-20,155.6400,155.7500,155.2100,155.7500,149.8991,30500
2025-08-21,157.0700,157.7100,157.0700,157.7100,151.7855,54400
2025-08-22,159.7400,159.7800,159.1000,159.5400,153.5467,30800
2025-08-25,156.7000,157.0800,156.3400,156.3400,150.4669,201700
2025-08-26,157.2900,158.9900,155.9000,156.1000,150.2360,28300
2025-08-27,153.2300,157.5000,153.2300,155.5500,149.7066,28500
2025-08-28,157.0500,157.5700,156.7200,157.0700,151.1695,45800
2025-08-29,157.5700,159.7700,157.3400,157.3400,151.4294,24500
2025-09-02,149.4400,158.5200,149.4400,157.1600,151.2561,33800
2025-09-03,157.1600,157.1700,155.5100,156.8700,150.9770,21000
2025-09-04,160.9900,160.9900,156.9900,157.2900,151.3812,28500
2025-09-05,162.0000,162.0000,157.5200,158.4800,152.5265,23600
2025-09-08,157.5000,160.0700,157.5000,158.5500,152.5939,27200
2025-09-09,159.5000,160.2900,158.6500,160.1800,154.1627,76100
2025-09-10,164.8300,165.2600,164.8000,164.9400,158.7439,151800
2025-09-11,165.3900,165.3900,164.4500,164.6400,158.4551,69100
2025-09-12,162.1000,162.3200,161.2100,161.4500,155.3850,87900
2025-09-15,161.4500,161.4500,160.2800,160.5500,154.5188,169100
2025-09-16,161.0000,161.4500,160.5700,161.4500,155.3850,29200
2025-09-17,161.6900,162.2800,160.3200,160.6700,154.6343,29200
2025-09-18,160.1600,160.9500,159.4100,159.7800,153.7777,47200
2025-09-19,159.4600,159.4600,157.4300,157.9000,151.9683,146500
2025-09-22,158.0000,158.0000,157.2400,157.4300,151.5160,23400
2025-09-23,159.8300,159.8300,157.3100,157.4900,151.5737,35500
2025-09-24,163.2500,163.2500,156.2700,156.3500,150.4766,21600
2025-09-25,158.1000,158.1000,153.8200,155.8000,149.9472,56000
2025-09-26,157.1200,157.1200,155.5900,155.9500,150.0916,32700
2025-09-29,156.2000,156.2600,155.6400,156.0600,150.1974,164400
2025-09-30,158.8300,158.8300,158.1000,158.2600,152.3148,47300
2025-10-01,160.5500,160.8200,160.4300,160.7000,154.6631,36500
2025-10-02,163.9000,165.6100,163.2100,163.8800,157.7237,24800
2025-10-03,164.7100,164.7100,163.5600,164.4600,158.2819,34700
2025-10-06,165.6000,165.6000,164.2100,164.8900,158.6957,34800
2025-10-07,169.6000,169.7500,169.0600,169.2900,162.9305,25800
2025-10-08,169.6500,169.6500,167.2000,167.2700,160.9863,56100
2025-10-09,163.7300,166.1200,163.7300,164.7300,158.5418,132100
2025-10-10,166.2800,166.5200,162.9700,163.5000,157.3580,79000
2025-10-13,164.3700,164.5700,163.3900,164.2400,158.0702,37500
2025-10-14,163.2000,163.2000,161.6400,162.2800,156.1838,58600
2025-10-15,170.9200,170.9200,160.5400,161.0400,154.9904,41700
2025-10-16,160.9800,161.9600,160.6900,160.9600,154.9134,51800
2025-10-17,155.8500,162.1400,155.8500,161.5600,155.4908,54200
2025-10-20,161.6500,164.3000,161.6500,163.2200,157.0885,52800
2025-10-21,163.2200,163.2200,161.0200,161.3000,155.2406,26800
2025-10-22,162.6800,162.9800,161.2000,161.9100,155.8277,42900
2025-10-23,163.2200,164.2000,163.1700,163.8700,157.7141,49400
