Date,Open,High,Low,Close,AdjClose,Volume
2025-01-02,75.7000,75.8700,75.1400,75.3500,71.6158,12756600
2025-01-03,75.5300,75.7400,75.2400,75.6800,71.9294,12548800
2025-01-06,76.3300,76.8900,76.2500,76.4000,72.6137,16201800
2025-01-07,77.0600,77.0600,76.2300,76.3400,72.5567,9393200
2025-01-08,75.9000,76.3300,75.6800,76.2200,72.4426,7894800
2025-01-10,75.6500,75.6700,74.9000,75.0600,71.3401,12021900
2025-01-13,74.2500,74.8900,74.2400,74.8500,71.1405,12019700
2025-01-14,75.0200,75.2600,74.7600,75.1200,71.3972,9963200
2025-01-15,76.2000,76.2600,75.7600,76.0800,72.3096,12144700
2025-01-16,76.2500,76.6900,76.0900,76.4700,72.6803,17925700
2025-01-17,76.8600,77.1900,76.6800,76.7800,72.9749,10667100
2025-01-21,77.8000,78.3500,77.6800,78.3300,74.4481,13169100
2025-01-22,78.4900,78.5000,78.1200,78.1500,74.2770,8666700
2025-01-23,78.3400,78.7900,78.1900,78.7900,74.8853,10977200
2025-01-24,79.1500,79.4600,79.0800,79.2300,75.3035,7578400
2025-01-27,78.8400,79.2700,78.8200,79.2300,75.3035,13559100
2025-01-28,79.1100,79.1800,78.6600,79.1300,75.2084,9458300
2025-01-29,79.1400,79.3600,78.8500,79.1200,75.1989,7875400
2025-01-30,79.8800,80.3200,79.6400,79.9900,76.0258,13792100
2025-01-31,79.8600,80.1700,79.1700,79.2400,75.3130,14935000
2025-02-03,77.9100,78.8000,77.6500,78.3100,74.4291,14997600
2025-02-04,78.7900,79.3000,78.7100,79.2200,75.2940,10608300
2025-02-05,79.7100,80.0800,79.5500,79.9900,76.0258,7857000
2025-02-06,80.2500,80.5400,80.1900,80.3700,76.3870,7806500
2025-02-07,80.4200,80.4800,79.4800,79.6100,75.6646,13110800
2025-02-10,79.9800,80.1800,79.9200,80.1500,76.1779,7287300
2025-02-11,80.0600,80.6100,80.0300,80.5300,76.5390,7583700
2025-02-12,80.0100,80.9900,79.8900,80.8300,76.8242,17271400
2025-02-13,81.2000,81.8500,81.1200,81.8100,77.7556,17212300
2025-02-14,82.2700,82.3500,81.9100,81.9300,77.8697,8051800
2025-02-18,82.4700,82.6300,82.3200,82.5200,78.4304,9485900
2025-02-19,81.6500,81.8000,81.3800,81.6700,77.6225,11042200
2025-02-20,81.9100,82.1000,81.5800,82.0500,77.9837,9177400
2025-02-21,82.1200,82.1400,81.3800,81.5400,77.4990,11630000
2025-02-24,81.8700,81.9900,81.3400,81.4900,77.4515,11135700
2025-02-25,82.5100,82.5100,81.8800,82.2300,78.1548,10091400
2025-02-26,82.4700,82.9900,82.1700,82.3400,78.2593,11254600
2025-02-27,82.1100,82.1100,81.3600,81.4100,77.3754,19003200
2025-02-28,81.3300,81.6500,80.8100,81.5800,77.5370,20717700
2025-03-03,83.1700,83.3900,82.0300,82.4800,78.3924,16234700
2025-03-04,81.8900,83.3300,81.2100,82.4600,78.3734,18408500
2025-03-05,83.5800,84.5700,83.5800,84.4300,80.2458,17092500
2025-03-06,83.8100,84.4900,83.5000,83.5600,79.4189,18421000
2025-03-07,83.7100,84.5400,83.5400,84.4300,80.2458,13184300
2025-03-10,83.0400,83.3400,81.8800,82.4400,78.3544,19368400
2025-03-11,82.5300,82.6500,81.6100,82.1600,78.0883,18088800
2025-03-12,82.7100,82.9300,82.1800,82.7500,78.6490,15886300
2025-03-13,82.2700,82.5000,81.9400,82.2000,78.1263,18561400
2025-03-14,83.0000,83.7300,82.8500,83.7100,79.5614,13971300
2025-03-17,83.9300,84.7800,83.8700,84.6500,80.4549,12966800
2025-03-18,84.5800,84.7700,84.1500,84.6400,80.4454,10513400
2025-03-19,84.3400,85.1900,84.2800,84.8900,80.6830,16362400
2025-03-20,83.6700,84.2500,83.6500,84.1800,80.0081,11820500
2025-03-21,83.5500,83.8200,83.3700,83.6600,79.5139,18771200
2025-03-24,83.5900,83.8300,83.3500,83.6500,79.5044,12201700
2025-03-25,84.2200,84.3200,83.9100,84.1100,79.9416,10478200
2025-03-26,83.5500,83.7800,82.8800,83.0200,78.9056,17010400
2025-03-27,82.8900,83.3900,82.8500,83.2000,79.0767,10331900
2025-03-28,82.7900,82.8900,82.2900,82.4600,78.3734,14242300
2025-03-31,81.2700,81.8800,80.9200,81.7300,77.6796,25560500
2025-04-01,81.7800,82.1100,81.3500,81.8500,77.7936,15154000
2025-04-02,81.2500,82.1300,81.1900,82.0400,77.9742,14451600
2025-04-03,81.2400,81.4400,80.2200,80.3200,76.3394,18718400
2025-04-04,77.2500,77.5200,74.9700,75.0200,71.3021,40904300
2025-04-07,72.6900,76.2500,72.1500,73.2100,69.5818,63057500
2025-04-08,75.8300,75.9200,72.2200,72.9600,69.3442,36425000
2025-04-09,73.1600,78.8600,72.7600,78.5900,74.6952,60645100
2025-04-10,77.2000,77.4900,75.2900,77.0400,73.2220,36697600
2025-04-11,77.3400,79.1500,77.2200,78.9700,75.0564,28909900
2025-04-14,79.4500,80.2400,79.1700,79.8200,75.8642,15749900
2025-04-15,80.4500,80.9100,80.3600,80.5400,76.5486,13679800
2025-04-16,80.5500,81.0600,79.9400,80.2300,76.2539,16542600
2025-04-17,80.9600,81.5900,80.8100,81.1000,77.0808,14072500
2025-04-21,81.4700,81.5600,80.0900,80.6600,76.6626,15883900
2025-04-22,81.7700,82.7000,81.7500,82.3300,78.2498,14923200
2025-04-23,83.1200,83.6300,82.4300,82.6600,78.5635,15223500
2025-04-24,83.0300,83.7900,82.8900,83.7600,79.6090,11194200
2025-04-25,83.6000,84.1500,83.4800,84.1200,79.9511,10485300
2025-04-28,84.2300,84.7700,84.1500,84.6800,80.4834,10085400
2025-04-29,84.5900,85.0300,84.5600,84.8500,80.6449,8303800
2025-04-30,84.2800,85.0100,83.8600,84.7500,80.5499,24147900
2025-05-01,84.9800,84.9900,84.3700,84.4800,80.2933,10070900
2025-05-02,85.9600,86.3000,85.8100,86.1000,81.8330,14798400
2025-05-05,86.3700,86.4800,86.2300,86.2500,81.9756,8119800
2025-05-06,86.2100,86.4400,86.0500,86.1400,81.8710,8661700
2025-05-07,85.9300,86.1900,85.5900,85.8500,81.5954,8536600
2025-05-08,86.0900,86.0900,85.5000,85.5500,81.3103,12228300
2025-05-09,86.2100,86.2100,85.7400,85.9700,81.7094,9149000
2025-05-12,86.0900,86.4200,85.6500,86.4100,82.1276,12602500
2025-05-13,86.3000,86.7300,86.2000,86.5200,82.2322,13242900
2025-05-14,86.8100,86.8300,86.0400,86.1000,81.8330,10173300
2025-05-15,86.7200,87.1000,86.5000,87.0400,82.7264,11283200
2025-05-16,86.9400,87.2800,86.7700,87.2400,82.9165,8372100
2025-05-19,87.2400,88.0800,87.2200,88.0700,83.7054,9062900
2025-05-20,88.2600,88.5300,88.2100,88.4900,84.1046,23335500
2025-05-21,88.6000,88.8900,87.9300,87.9700,83.6103,15278800
2025-05-22,87.6300,88.1500,87.4900,87.9200,83.5628,12787300
2025-05-23,87.2000,88.2000,87.1500,88.0400,83.6769,16959600
2025-05-27,89.3000,89.4600,89.1200,89.3200,84.8934,12435700
2025-05-28,88.4500,88.5500,88.1200,88.2900,83.9145,16812400
2025-05-29,88.7400,88.7500,88.2500,88.6800,84.2851,11454200
2025-05-30,88.7500,88.9000,88.1700,88.8100,84.4087,18590200
2025-06-02,88.9700,89.7900,88.6700,89.7600,85.3116,25710500
2025-06-03,88.8600,89.1700,88.6300,89.0800,84.6653,11787400
2025-06-04,89.2900,89.7500,89.2300,89.4800,85.0455,11593300
2025-06-05,89.7600,89.8600,89.2300,89.4200,84.9885,14543100
2025-06-06,89.6200,89.8500,89.5000,89.7400,85.2926,10301000
2025-06-09,89.6200,90.0000,89.5600,89.7300,85.2831,9641600
2025-06-10,90.0500,90.0900,89.6500,89.8500,85.3972,10254100
2025-06-11,90.0100,90.1600,89.6400,89.7000,85.2546,12329600
2025-06-12,90.2000,90.5100,90.1500,90.3900,85.9104,13288000
2025-06-13,89.2200,89.7200,89.0200,89.2300,84.8079,22177100
2025-06-16,88.4100,88.8600,88.0400,88.0400,85.1260,17843400
2025-06-17,87.6700,87.7500,86.8600,86.9600,84.0817,16726300
2025-06-18,87.2100,87.5900,86.9000,87.1100,84.2268,18504400
2025-06-20,87.0400,87.0500,86.3100,86.3300,83.4726,16900600
2025-06-23,85.7400,87.0100,85.6800,86.9800,84.1011,23100600
2025-06-24,87.6600,88.1700,87.5600,88.0400,85.1260,14900600
2025-06-25,87.5700,87.6800,87.3600,87.5600,84.6619,14422100
2025-06-26,88.2400,88.6100,88.1300,88.5400,85.6094,15791500
2025-06-27,89.1800,89.6200,88.9600,89.3400,86.3830,15987700
2025-06-30,89.1200,89.4900,88.9500,89.3900,86.4313,28062100
2025-07-01,89.1100,89.3900,89.0300,89.2400,86.2863,11406100
2025-07-02,88.9700,89.5600,88.8400,89.5000,86.5377,13133600
2025-07-03,89.4400,89.6800,89.3900,89.5200,86.5570,5311100
2025-07-07,88.9400,89.1000,88.3000,88.5500,85.6191,12925000
2025-07-08,88.7000,89.2900,88.6000,89.2000,86.2476,9061400
