Date,Open,High,Low,Close,AdjClose,Volume
2025-01-02,67.1800,67.4600,66.8100,67.0100,63.7282,4485900
2025-01-03,66.8300,67.3900,66.8100,67.2800,63.9850,3699900
2025-01-06,67.4300,67.8700,67.3400,67.4300,64.1277,5238700
2025-01-07,67.8800,67.9400,67.1800,67.2700,63.9755,4052300
2025-01-08,66.8300,67.1500,66.6700,67.1000,63.8138,3607300
2025-01-10,65.6700,65.7800,65.1500,65.2400,62.0449,3805000
2025-01-13,64.6900,65.4400,64.6900,65.4200,62.2161,4544600
2025-01-14,65.1900,65.4500,64.9700,65.2900,62.0925,3784500
2025-01-15,66.2900,66.3100,65.8800,66.2700,63.0245,3968300
2025-01-16,65.9800,66.0900,65.7500,65.8500,62.6250,4016400
2025-01-17,66.0800,66.3300,65.9500,66.1800,62.9389,2116600
2025-01-21,67.0900,67.3300,66.8600,67.3300,64.0326,4044700
2025-01-22,67.4700,67.4800,67.2200,67.2500,63.9565,2769500
2025-01-23,67.3300,67.8300,67.3100,67.8200,64.4986,2686500
2025-01-24,68.0000,68.6600,67.9700,68.4800,65.1262,2731600
2025-01-27,67.7100,67.8900,67.6000,67.7400,64.4225,3199600
2025-01-28,68.1600,68.3100,67.9100,68.3100,64.9646,2162600
2025-01-29,68.2400,68.3600,67.9500,68.1000,64.7648,7954000
2025-01-30,68.9600,69.3600,68.8600,69.1200,65.7349,2437000
2025-01-31,68.9800,69.1900,68.2700,68.3100,64.9646,5203200
2025-02-03,67.4900,68.1100,67.2600,67.6600,64.3464,5195500
2025-02-04,67.6600,68.3100,67.6500,68.2700,64.9265,2502500
2025-02-05,68.6800,69.1400,68.5300,69.1200,65.7349,4840200
2025-02-06,69.2800,69.5200,69.2100,69.4000,66.0012,3382700
2025-02-07,69.1000,69.2500,68.3100,68.4800,65.1262,7605600
2025-02-10,68.8400,68.8600,68.6200,68.7500,65.3830,2548000
2025-02-11,68.4200,68.8700,68.4000,68.7400,65.3735,2063700
2025-02-12,67.5600,68.0800,67.4500,68.0200,64.6888,3842700
2025-02-13,68.6400,69.2600,68.6400,69.2600,65.8680,3080400
2025-02-14,69.4400,69.5400,69.1900,69.3700,65.9726,2238000
2025-02-18,69.9500,70.1200,69.8800,70.1000,66.6669,2859600
2025-02-19,69.4600,69.6800,69.3300,69.6200,66.2104,3409400
2025-02-20,69.7900,69.8900,69.4900,69.7100,66.2960,3018100
2025-02-21,69.6000,69.6300,68.9800,69.0900,65.7064,2675600
2025-02-24,69.0000,69.1600,68.6200,68.7800,65.4115,3263400
2025-02-25,69.7900,69.8100,69.1600,69.4700,66.0677,3972300
2025-02-26,69.5500,70.0500,69.4600,69.5100,66.1058,2597300
2025-02-27,69.8100,69.9000,68.9800,69.0000,65.6208,4446600
2025-02-28,68.1100,68.5500,67.9600,68.4700,65.1167,6836500
2025-03-03,69.8800,70.1100,69.0500,69.2100,65.8205,5562800
2025-03-04,68.7100,69.4600,68.0100,68.6400,65.2784,5134800
2025-03-05,69.4100,70.3300,69.3900,70.1500,66.7144,4002000
2025-03-06,70.0500,70.3400,69.5800,69.6100,66.2009,4748700
2025-03-07,69.7700,70.2300,69.3700,70.1700,66.7335,4235800
2025-03-10,69.1800,69.3100,68.3300,68.6800,65.3164,5837100
2025-03-11,68.4800,68.6500,67.8300,68.2600,64.9170,6966700
2025-03-12,69.2700,69.6900,68.9600,69.5200,66.1153,4705200
2025-03-13,69.3700,69.5600,69.0700,69.2600,65.8680,2934000
2025-03-14,69.8600,70.3900,69.7400,70.3500,66.9046,7266100
2025-03-17,70.6600,71.2500,70.6600,71.0900,67.6084,3315500
2025-03-18,70.6700,71.0500,70.4300,70.8900,67.4182,3352300
2025-03-19,71.0100,71.8800,70.9600,71.7000,68.1885,3473000
2025-03-20,70.7700,71.3400,70.7600,71.3200,67.8271,2640400
2025-03-21,71.1600,71.4200,71.0500,71.3300,67.8367,3482100
2025-03-24,71.1100,71.2100,70.9400,71.1700,67.6845,3396800
2025-03-25,71.2900,71.7300,71.1700,71.6800,68.1695,12540300
2025-03-26,71.1800,71.2600,70.6800,70.7500,67.2851,8321100
2025-03-27,70.7300,70.8400,70.5200,70.6500,67.1900,4608400
2025-03-28,69.3600,69.6000,68.9800,69.2200,65.8300,7782300
2025-03-31,68.2300,68.7400,67.8900,68.5600,65.2023,4204300
2025-04-01,67.8300,68.4100,67.5100,68.2000,64.8599,4730900
2025-04-02,67.3400,68.2600,67.3200,68.2200,64.8790,3999200
2025-04-03,66.1000,66.4200,65.2200,65.4100,62.2066,9542200
2025-04-04,63.0900,63.3400,61.3400,61.5100,58.4976,15532500
2025-04-07,60.1800,63.1400,59.8400,61.3200,58.3169,19735300
2025-04-08,64.3400,64.4400,61.0200,61.6500,58.6307,13116000
2025-04-09,61.3400,66.4900,61.0800,66.3400,63.0910,18189300
2025-04-10,64.8900,65.0400,62.7200,64.2200,61.0749,11273700
2025-04-11,64.5400,65.9000,64.3200,65.8200,62.5965,6951800
2025-04-14,66.6300,67.2300,66.3600,66.9000,63.6236,5196100
2025-04-15,67.2300,67.7500,67.2100,67.4400,64.1372,3788400
2025-04-16,67.2000,67.5000,66.5100,66.7800,63.5095,7811700
2025-04-17,68.1400,68.5700,68.0500,68.0700,64.7363,4224000
2025-04-21,68.2900,68.3500,67.4500,67.9200,64.5937,4567700
2025-04-22,69.0500,69.6100,69.0000,69.2700,65.8775,3457900
2025-04-23,69.9600,70.3100,69.3300,69.4800,66.0773,4085800
2025-04-24,69.5300,70.2900,69.4300,70.2800,66.8381,2696900
