Date,Open,High,Low,Close,AdjClose,Volume
2025-03-12,29.2200,29.2900,28.8800,29.0100,28.2921,1090300
2025-03-13,28.8800,29.0600,28.7300,28.8300,28.1165,650100
2025-03-14,29.3000,29.4800,29.2000,29.4200,28.6919,1259000
2025-03-17,29.7400,30.0800,29.6800,29.9800,29.2381,1180500
2025-03-18,30.3100,30.4300,30.1600,30.4100,29.6574,1037000
2025-03-19,30.2300,30.3700,30.1300,30.3000,29.5501,1424600
2025-03-20,30.0200,30.2300,29.8900,30.1500,29.4038,1362100
2025-03-21,30.0000,30.1500,29.9000,30.0300,29.2868,1089100
2025-03-24,29.9500,30.1100,29.9500,30.0500,29.3063,1210300
2025-03-25,30.1600,30.1900,30.0300,30.1300,29.3843,771300
2025-03-26,29.7500,29.8200,29.4400,29.5700,28.8382,1061400
2025-03-27,28.8400,29.0000,28.5400,28.7700,28.0580,1042600
2025-03-28,27.8700,27.8900,27.2000,27.2600,27.2600,1605900
2025-03-31,26.6100,27.1800,26.5300,27.1300,27.1300,886300
2025-04-01,27.0400,27.0400,26.6600,26.8000,26.8000,910100
2025-04-02,27.0100,27.3600,26.9500,27.3100,27.3100,1033700
2025-04-03,26.7300,26.9600,26.2900,26.3400,26.3400,1558000
2025-04-04,25.2000,25.3000,24.5600,25.0000,25.0000,1831200
2025-04-07,24.7600,26.2400,24.5600,25.3400,25.3400,2192400
2025-04-08,26.4500,26.6100,24.9400,25.2200,25.2200,1781200
2025-04-09,25.4300,27.8300,25.2600,27.6200,27.6200,2424500
2025-04-10,26.9200,27.0500,26.0300,26.6100,26.6100,1522000
2025-04-11,27.0300,27.6500,26.9500,27.6200,27.6200,948900
2025-04-14,27.7400,28.3500,27.6800,28.1500,28.1500,1067900
2025-04-15,28.6700,28.9000,28.4700,28.5700,28.5700,893600
2025-04-16,28.4500,28.7400,28.2100,28.4600,28.4600,816100
2025-04-17,29.0000,29.2400,28.9300,29.1200,29.1200,1315400
2025-04-21,29.3500,29.4200,28.9500,29.1600,29.1600,1057100
2025-04-22,29.6900,29.9400,29.5700,29.7900,29.7900,929100
2025-04-23,30.0000,30.2900,29.6200,29.6800,29.6800,1333300
2025-04-24,29.7900,30.1600,29.7900,30.1400,30.1400,1043600
2025-04-25,30.0100,30.2700,29.8800,30.2100,30.2100,910200
2025-04-28,30.3700,30.6100,30.2900,30.5100,30.5100,705900
2025-04-29,30.5100,30.8700,30.5100,30.8000,30.8000,478400
2025-04-30,30.2200,30.5900,30.0900,30.5100,30.5100,469000
2025-05-01,30.4300,30.5900,30.3200,30.3300,30.3300,528800
2025-05-02,30.8000,30.8600,30.5900,30.6800,30.6800,563100
2025-05-05,30.6800,30.9500,30.6800,30.8000,30.8000,594600
2025-05-06,30.7300,30.9700,30.6500,30.7900,30.7900,662200
2025-05-07,30.4300,30.5100,30.1800,30.3800,30.3800,924500
2025-05-08,30.0000,30.5600,29.9900,30.2300,30.2300,767900
2025-05-09,30.5300,30.6200,30.3600,30.4700,30.4700,394400
2025-05-12,30.8700,31.1200,30.7700,30.9300,30.9300,1108700
2025-05-13,29.4000,29.6800,28.8000,29.6300,29.6300,1992000
2025-05-14,29.6800,29.7700,29.4000,29.4400,29.4400,1278200
2025-05-15,28.8000,28.8600,28.6300,28.8200,28.8200,848700
2025-05-16,28.9400,29.2000,28.9000,29.1800,29.1800,638700
2025-05-19,29.0000,29.2800,29.0000,29.2700,29.2700,513500
2025-05-20,29.4700,29.6300,29.4500,29.6000,29.6000,488500
2025-05-21,29.8100,30.1400,29.8100,29.8300,29.8300,572200
2025-05-22,29.4000,29.6000,29.2900,29.5200,29.5200,436600
2025-05-23,29.3800,29.5300,29.2400,29.5000,29.5000,478200
2025-05-27,29.5200,29.8500,29.5200,29.8300,29.8300,642300
2025-05-28,29.6100,29.7700,29.5400,29.5800,29.5800,635200
2025-05-29,30.6400,30.6700,30.3700,30.5400,30.5400,684100
2025-05-30,30.4600,30.5400,30.2600,30.5200,30.5200,754500
2025-06-02,30.0400,30.1500,29.9000,30.0700,30.0700,1035700
2025-06-03,29.8400,30.1800,29.7400,30.0800,30.0800,845200
2025-06-04,29.5500,29.6400,29.3500,29.3500,29.3500,747200
2025-06-05,29.0000,29.0400,28.7600,28.8000,28.8000,701200
2025-06-06,29.2100,29.3000,29.1700,29.2400,29.2400,475500
2025-06-09,29.0800,29.2200,29.0100,29.2000,29.2000,838800
2025-06-10,29.2100,29.3400,29.0700,29.2800,29.2800,1130100
2025-06-11,29.3300,29.3800,29.1200,29.1400,29.1400,704800
2025-06-12,29.2500,29.3700,29.1600,29.1800,29.1800,842500
2025-06-13,29.0100,29.2700,28.9500,29.1200,29.1200,1115300
2025-06-16,29.8900,30.0400,29.8400,29.9200,29.9200,944600
