Date,Open,High,Low,Close,AdjClose,Volume
2026-06-30,113.3400,114.3400,111.6500,112.0200,111.4843,405600
2026-07-01,111.3000,112.8700,110.3600,110.9900,110.4592,330400
2026-07-02,112.2400,113.8600,110.9200,113.7700,113.2259,514100
2026-07-06,113.6000,115.0800,112.4200,112.8300,112.2904,828500
2026-07-07,113.8500,117.4600,113.7600,116.5700,116.0125,715700
2026-07-08,118.6300,121.2700,117.2800,121.2600,120.6801,695900
2026-07-09,120.4300,121.1200,119.7500,120.0000,119.4261,515800
2026-07-10,120.6300,121.8300,119.8600,120.5100,119.9337,385400
2026-07-13,122.5000,124.6400,122.4200,123.6400,123.0487,509400
2026-07-14,124.7800,125.9200,122.0200,122.5200,121.9340,517000
2026-07-15,122.6900,123.0900,119.3700,120.4200,119.8441,426900
2026-07-16,120.4500,121.0000,118.7700,119.7700,119.1972,458200
2026-07-17,120.9100,122.7200,120.7300,122.5200,121.9340,387900
2026-07-20,121.8500,123.4000,120.9600,122.7600,122.1729,379300
2026-07-21,123.2100,124.5200,122.7000,124.2200,123.6259,421600
2026-07-22,125.8700,127.5200,125.4800,125.6800,125.0789,414000
2026-07-23,127.6200,129.4500,126.6800,128.8300,128.2139,509900
2026-07-24,128.5500,129.5900,127.4400,128.4800,127.8655,485900
2026-07-27,125.6800,127.4700,124.9600,125.7900,125.1884,396400
2026-07-28,125.8300,127.1300,124.0100,125.7300,125.1287,592200
2026-07-29,128.5900,129.6100,127.8500,128.8000,128.1840,533100
2026-07-30,127.1900,129.7500,127.1900,128.8000,128.1840,615800
2026-07-31,129.4400,129.9600,124.6500,129.5700,128.9503,947600
2026-08-03,125.7800,127.7100,125.7000,126.3500,125.7457,542700
2026-08-04,123.8800,128.6400,122.3600,127.4200,126.8106,752700
2026-08-05,128.3000,128.3000,125.0900,125.3400,124.7406,384800
2026-08-06,127.6100,127.6100,124.9100,126.2900,125.6860,386400
2026-08-07,125.3800,125.9100,123.2200,124.9500,124.3524,365400
2026-08-10,126.4000,130.1900,126.2900,128.7900,128.1741,513500
2026-08-11,128.8100,130.4300,128.4900,129.5600,128.9404,351200
2026-08-12,129.1300,130.5800,128.5100,130.4600,129.8361,353100
2026-08-13,128.9600,132.7600,128.7600,132.3500,131.7170,478700
2026-08-14,133.0300,135.1200,133.0300,133.2800,132.6426,275000
2026-08-17,133.9400,135.2700,133.4900,134.8800,134.2349,499400
2026-08-18,136.5600,136.5600,134.3900,135.7000,135.0510,541100
2026-08-19,136.4400,138.3800,135.9700,136.1200,135.4690,462700
2026-08-20,137.4100,138.4300,136.5300,136.8600,136.2055,567300
2026-08-21,136.9100,138.0700,136.6600,138.0500,137.3898,262700
2026-08-24,137.0000,138.1000,135.5400,136.9500,136.2950,449000
2026-08-25,135.3200,135.6000,131.3100,131.4900,130.8612,587500
2026-08-26,130.0600,132.3700,129.2900,131.4200,130.7915,504600
2026-08-27,130.8700,132.4500,129.6900,132.2200,131.5877,568900
2026-08-28,131.7600,132.2300,129.4100,130.5100,129.8858,658300
2026-08-31,133.6200,133.9100,129.9800,131.3400,130.7119,361600
2026-09-01,132.6600,135.1000,132.1200,134.9400,134.2946,708100
2026-09-02,134.1600,134.5700,132.3600,133.4400,132.8018,526700
2026-09-03,133.5900,134.5100,131.5100,131.9400,131.3090,503900
2026-09-04,130.2500,130.6200,127.8700,128.6200,128.6200,1555500
2026-09-08,130.1300,132.6650,129.9400,131.3800,131.3800,
