Date,Open,High,Low,Close,AdjClose,Volume
2025-08-06,23.6800,23.8300,23.6200,23.7900,23.7900,88100
2025-08-07,24.5800,24.9400,24.5600,24.9200,24.9200,288600
2025-08-08,25.1600,25.3300,25.0700,25.2600,25.2600,109800
2025-08-11,25.2700,25.3900,24.9000,25.2500,25.2500,119200
2025-08-12,25.3700,25.5400,25.2800,25.4500,25.4500,121400
2025-08-13,25.3800,25.4400,25.3500,25.4000,25.4000,86800
2025-08-14,25.5000,25.7500,25.5000,25.6400,25.6400,136900
2025-08-15,25.9600,25.9600,25.8600,25.8800,25.8800,108300
2025-08-18,25.8500,26.0400,25.8400,26.0300,26.0300,159400
2025-08-19,26.0200,26.1500,25.9800,26.0200,26.0200,271000
2025-08-20,25.8500,25.8500,25.6900,25.7100,25.7100,165600
2025-08-21,25.5000,25.5000,25.3000,25.4400,25.4400,155400
2025-08-22,25.7100,26.2500,25.7100,26.0600,26.0600,204800
2025-08-25,25.9800,26.0600,25.9500,25.9700,25.9700,78600
2025-08-26,25.8100,25.9700,25.8100,25.9700,25.9700,99500
2025-08-27,25.7300,25.8100,25.6300,25.7800,25.7800,66300
2025-08-28,26.0500,26.2000,26.0500,26.1500,26.1500,215200
2025-08-29,26.0000,26.0700,25.8700,25.9200,25.9200,189900
2025-09-02,26.0300,26.1800,25.9300,26.1800,26.1800,108200
2025-09-03,25.9000,25.9500,25.8100,25.9300,25.9300,96900
2025-09-04,25.9200,26.1000,25.8500,26.1000,26.1000,62700
2025-09-05,26.3500,26.4500,26.1500,26.2200,26.2200,145000
2025-09-08,26.4900,26.6700,26.4700,26.6600,26.6600,88300
2025-09-09,26.4300,26.4900,26.2900,26.4400,26.4400,104800
2025-09-10,26.5200,26.7300,26.5200,26.6600,26.6600,149700
2025-09-11,26.7700,27.0100,26.7700,26.9900,26.9900,67300
2025-09-12,26.7800,26.8600,26.7200,26.8100,26.8100,64900
2025-09-15,26.6000,26.9400,26.6000,26.8600,26.8600,86000
2025-09-16,27.0700,27.1600,27.0200,27.0600,27.0600,147700
2025-09-17,26.9700,27.2100,26.7300,26.9600,26.9600,268300
2025-09-18,26.8200,26.9000,26.5900,26.8600,26.8600,97900
2025-09-19,26.9800,27.2000,26.9800,27.0500,27.0500,111700
2025-09-22,27.0600,27.0700,26.9300,26.9900,26.9900,104600
2025-09-23,27.0100,27.1600,26.8800,26.9100,26.9100,175600
2025-09-24,26.7600,26.7600,26.4700,26.5700,26.5700,223000
2025-09-25,26.3500,26.4800,26.2300,26.4200,26.4200,241000
2025-09-26,26.4700,26.6600,26.4700,26.6400,26.6400,153200
2025-09-29,26.6200,26.6300,26.4700,26.5400,26.5400,161700
2025-09-30,26.3100,26.3100,25.9400,26.1200,26.1200,91900
2025-10-01,25.8900,25.9200,25.7100,25.8100,25.8100,190800
2025-10-02,25.5400,25.6000,25.2200,25.5300,25.5300,166500
2025-10-03,25.6300,25.8100,25.6100,25.8000,25.8000,173100
2025-10-06,25.8300,26.0300,25.8300,25.9500,25.9500,105900
2025-10-07,25.7100,25.7300,25.4700,25.5200,25.5200,80800
2025-10-08,25.3100,25.3800,25.2100,25.3400,25.3400,135700
2025-10-09,25.3400,25.3400,25.0000,25.0800,25.0800,190100
2025-10-10,24.6100,24.7900,24.2600,24.4100,24.4100,114800
2025-10-13,24.8400,24.8400,24.4300,24.5700,24.5700,244800
2025-10-14,24.4400,24.8000,24.4400,24.7100,24.7100,120000
2025-10-15,24.9600,25.1400,24.9400,25.0700,25.0700,153000
2025-10-16,25.2200,25.2200,24.7700,24.8400,24.8400,122400
2025-10-17,24.8000,25.0100,24.7600,24.9400,24.9400,98100
2025-10-20,25.0200,25.0800,24.9100,25.0000,25.0000,129300
2025-10-21,25.2500,25.3400,25.2000,25.2800,25.2800,182400
2025-10-22,25.3400,25.4600,25.1900,25.2600,25.2600,124400
2025-10-23,25.1800,25.2800,25.0900,25.1600,25.1600,121500
2025-10-24,25.0200,25.0200,24.8500,24.8700,24.8700,125600
2025-10-27,24.9000,24.9400,24.8700,24.9100,24.9100,132500
2025-10-28,24.7900,24.9400,24.7700,24.9000,24.9000,117200
2025-10-29,24.5000,24.5900,24.1900,24.3100,24.3100,172600
