Date,Open,High,Low,Close,AdjClose,Volume
2026-07-20,21.7200,22.4300,21.7200,22.0400,22.0400,50800
2026-07-21,22.6900,22.7300,22.3800,22.6900,22.6900,60400
2026-07-22,23.0100,23.1900,22.4500,23.1000,23.1000,40300
2026-07-23,22.4400,22.5000,22.2800,22.3900,22.3900,62900
2026-07-24,21.7000,22.6000,21.7000,22.3800,22.3800,61500
2026-07-27,23.1200,23.1200,22.5900,22.8800,22.8800,107000
2026-07-28,21.9300,22.5600,21.9000,22.1800,22.1800,51800
2026-07-29,22.1200,22.4300,21.7400,22.0300,22.0300,37900
2026-07-30,22.9000,24.7700,22.1600,24.3000,24.3000,122700
2026-07-31,22.7500,23.1100,22.5400,23.1100,23.1100,59600
2026-08-03,22.5700,22.5900,22.2000,22.3900,22.3900,43200
2026-08-04,23.2000,24.1300,23.2000,24.0300,24.0300,34400
2026-08-05,24.6800,24.9000,24.3500,24.3500,24.3500,26200
2026-08-06,24.1000,24.3200,23.9800,24.0700,24.0700,28200
2026-08-07,24.3100,24.3100,24.0600,24.2200,24.2200,23500
2026-08-10,23.9400,24.2500,23.1300,23.9400,23.9400,65600
2026-08-11,24.0600,24.2200,23.9300,23.9400,23.9400,17200
2026-08-12,24.0900,24.2400,23.8000,23.8300,23.8300,81400
2026-08-13,24.2500,24.8100,24.2500,24.7000,24.7000,30500
2026-08-14,24.5700,24.5700,24.4200,24.4700,24.4700,24700
2026-08-17,24.2500,24.3500,24.1200,24.1800,24.1800,22900
2026-08-18,23.6700,23.7200,23.3800,23.3800,23.3800,28600
2026-08-19,23.2000,23.3000,23.0300,23.1600,23.1600,67800
2026-08-20,22.7000,23.2300,22.1100,22.1200,22.1200,73700
2026-08-21,23.6400,23.6400,22.4600,22.5800,22.5800,21900
2026-08-24,22.8000,22.8500,22.2900,22.3600,22.3600,35800
2026-08-25,22.4000,22.9000,22.4000,22.5200,22.5200,31400
2026-08-26,22.5800,22.6600,22.5300,22.6100,22.6100,19600
2026-08-27,22.8700,22.9000,22.7600,22.8600,22.8600,44000
2026-08-28,22.7500,22.7500,22.3900,22.4900,22.4900,18600
2026-08-31,22.8300,22.9000,22.6200,22.7300,22.7300,72200
2026-09-01,22.3600,22.6100,22.2800,22.2900,22.2900,43200
2026-09-02,22.0900,22.2800,22.0900,22.2600,22.2600,48100
2026-09-03,22.4400,22.6700,22.3400,22.5500,22.5500,39900
2026-09-04,22.4600,22.6600,22.4600,22.5600,22.5600,30900
2026-09-08,22.4600,22.6600,22.4600,22.5600,22.5600,
2026-09-09,22.1700,22.2500,21.9300,22.0650,22.0650,
2026-09-10,22.0350,22.0775,21.8200,21.8800,21.8800,
