Date,Open,High,Low,Close,AdjClose,Volume
2026-02-23,9.4000,9.4500,9.1800,9.1900,9.1900,4275800
2026-02-24,8.8300,8.9900,8.7800,8.9300,8.9300,4216200
2026-02-25,8.6300,8.7900,8.5800,8.7600,8.7600,6377400
2026-02-26,8.9900,9.0400,8.9100,9.0100,9.0100,3069500
2026-02-27,9.0200,9.0900,8.7800,8.8700,8.8700,4308800
2026-03-02,8.5000,8.7200,8.4300,8.6700,8.6700,6305000
2026-03-03,7.9900,8.2500,7.9300,8.2200,8.2200,7944500
2026-03-04,8.1200,8.2200,8.0900,8.2100,8.2100,4516400
2026-03-05,8.2100,8.3000,8.0300,8.1400,8.1400,4423300
2026-03-06,7.9900,8.1000,7.9200,8.0600,8.0600,4564300
2026-03-09,7.8500,8.1400,7.8000,8.1100,8.1100,6331000
2026-03-10,8.2600,8.4700,8.2300,8.2800,8.2800,6449500
2026-03-11,8.0000,8.0600,7.9400,8.0200,8.0200,5003600
2026-03-12,7.7900,7.8200,7.6400,7.7200,7.7200,5459700
2026-03-13,7.7700,7.8000,7.6100,7.6300,7.6300,4541100
2026-03-16,7.7400,7.8600,7.7400,7.8000,7.8000,4733300
2026-03-17,7.8800,7.9100,7.8000,7.8000,7.8000,2770400
2026-03-18,7.8100,7.8400,7.7300,7.7400,7.7400,4083800
2026-03-19,7.6200,7.8300,7.6100,7.7600,7.7600,4605200
2026-03-20,7.7800,7.7900,7.5400,7.5900,7.5900,6898600
2026-03-23,7.8400,7.8700,7.6900,7.7500,7.7500,7209800
2026-03-24,7.7000,7.8900,7.7000,7.8100,7.8100,7318300
2026-03-25,8.0300,8.0800,7.9000,7.9600,7.9600,5293000
2026-03-26,7.8300,7.9000,7.7600,7.7800,7.7800,3651400
2026-03-27,7.7500,7.7800,7.6000,7.6300,7.6300,5168800
2026-03-30,7.6900,7.7400,7.5800,7.6300,7.6300,5121900
2026-03-31,7.7500,7.9700,7.7100,7.9400,7.9400,5423400
2026-04-01,8.2700,8.4300,8.2700,8.3800,8.3800,10110600
2026-04-02,7.9100,8.2300,7.9100,8.1600,8.1600,5315000
2026-04-06,8.1600,8.2300,8.1500,8.2000,8.2000,3268000
2026-04-07,8.1600,8.2600,8.0500,8.2500,8.2500,5946200
2026-04-08,8.7900,8.8700,8.7200,8.8000,8.8000,5688900
2026-04-09,8.5100,8.6800,8.4500,8.6000,8.6000,6415300
2026-04-10,8.6200,8.6500,8.5700,8.6300,8.6300,3074900
2026-04-13,8.4700,8.6600,8.4400,8.6500,8.6500,3661400
2026-04-14,8.6400,8.7000,8.6200,8.6900,8.6900,2727900
2026-04-15,8.7500,8.8100,8.7400,8.8000,8.8000,3797200
2026-04-16,8.7400,8.7400,8.5900,8.6300,8.6300,3663700
2026-04-17,8.7000,8.8900,8.6900,8.8200,8.8200,6275000
2026-04-20,8.6300,8.6800,8.6000,8.6000,8.6000,4204300
2026-04-21,8.4600,8.4600,8.2100,8.2300,8.2300,7332200
2026-04-22,8.3000,8.3400,8.2200,8.2600,8.2600,2739900
2026-04-23,8.2200,8.2300,8.0300,8.1200,8.1200,3710700
2026-04-24,8.0800,8.1400,8.0500,8.1100,8.1100,3679100
2026-04-27,8.3000,8.3400,8.2400,8.2700,8.2700,2969800
