Date,Open,High,Low,Close,AdjClose,Volume
2026-04-27,19.0300,19.6600,19.0300,19.5700,19.5700,547000
2026-04-28,19.1500,19.2500,18.8800,18.9100,18.9100,231800
2026-04-29,18.9500,18.9500,18.7680,18.8000,18.8000,104300
2026-04-30,20.3360,20.5700,20.1900,20.5200,20.5200,227300
2026-05-01,20.9900,21.2400,20.9450,21.0500,21.0500,185100
2026-05-04,21.3200,21.3400,20.9500,21.0600,21.0600,173000
2026-05-05,21.4200,21.6400,21.1300,21.4400,21.4400,192900
2026-05-06,21.7500,22.1400,21.6300,22.0700,22.0700,144400
2026-05-07,21.4000,21.4000,21.1000,21.1000,21.1000,188400
2026-05-08,21.2300,21.4100,21.1800,21.3100,21.3100,102700
2026-05-11,21.2500,21.3540,21.2400,21.3100,21.3100,141800
2026-05-12,21.0000,21.2500,20.4100,20.6000,20.6000,125900
2026-05-13,20.6000,20.8300,20.5700,20.7500,20.7500,140800
2026-05-14,21.3800,21.6600,21.3800,21.5600,21.5600,192500
2026-05-15,21.5000,21.5000,20.7600,20.8500,20.8500,117800
2026-05-18,21.3900,21.3900,20.9600,21.2700,21.2700,130100
2026-05-19,21.0200,21.1300,20.8850,20.9700,20.9700,111100
2026-05-20,20.2500,20.6300,20.1400,20.5900,20.5900,98500
2026-05-21,21.2300,21.7000,21.2300,21.7000,21.7000,201100
2026-05-22,21.9750,22.9000,21.9000,21.9900,21.9900,103900
2026-05-26,22.6850,22.7400,22.6000,22.7100,22.7100,161000
2026-05-27,22.5500,22.5500,22.2900,22.4400,22.4400,128000
2026-05-28,22.2300,22.6200,22.1980,22.5100,22.5100,331700
2026-05-29,23.4000,23.7700,23.0500,23.1200,23.1200,311000
2026-06-01,22.3700,22.5430,22.2700,22.4500,22.4500,183300
2026-06-02,22.5600,22.7500,22.4900,22.7500,22.7500,156200
2026-06-03,24.2600,24.4100,23.8800,23.9400,23.9400,196200
2026-06-04,23.3850,23.8600,23.0000,23.8400,23.8400,128100
2026-06-05,23.2700,23.5500,22.7580,22.7800,22.7800,194400
2026-06-08,22.6700,24.0000,22.3900,23.0000,23.0000,177400
2026-06-09,24.6600,24.8380,23.9450,24.2500,24.2500,170200
2026-06-10,23.1880,23.4400,23.0900,23.0900,23.0900,139500
2026-06-11,23.1000,24.1800,22.7100,24.1600,24.1600,174500
2026-06-12,23.9500,24.0300,23.5000,23.9810,23.9810,112900
2026-06-15,25.0000,25.0000,24.8500,24.9600,24.9600,126300
2026-06-16,25.3900,25.6200,25.3600,25.4500,25.4500,135200
2026-06-17,26.2500,26.4800,26.0800,26.1500,26.1500,193000
2026-06-18,26.8400,27.0700,26.7700,27.0400,27.0400,357100
2026-06-22,27.5800,28.1200,27.1900,27.3600,27.3600,152600
2026-06-23,25.6000,26.0900,25.5900,25.9600,25.9600,267600
2026-06-24,28.6100,28.6100,27.5000,27.7600,27.7600,277100
2026-06-25,28.4900,28.5700,28.0600,28.1800,28.1800,378900
2026-06-26,27.7500,28.4100,27.7500,28.3500,28.3500,162500
2026-06-29,27.1300,27.4700,26.9000,27.4700,27.4700,203900
2026-06-30,27.9000,28.1300,27.8400,28.0200,28.0200,151300
2026-07-01,29.3400,29.5600,28.2100,28.2100,28.2100,157100
2026-07-02,28.3500,28.6640,27.7850,28.0700,28.0700,192900
2026-07-06,28.2300,28.2800,28.0100,28.2800,28.2800,162900
2026-07-07,26.9000,27.1300,26.3600,26.7700,26.7700,163500
2026-07-08,26.1500,26.7900,26.1200,26.7260,26.7260,158600
2026-07-09,27.5200,27.8350,27.5200,27.7520,27.7520,109700
2026-07-10,27.8800,28.0400,27.6090,27.9500,27.9500,112400
2026-07-13,27.3700,27.6400,27.2600,27.3000,27.3000,1839000
2026-07-14,25.9500,26.2300,25.8000,26.1500,26.1500,787200
2026-07-15,26.3900,26.6000,26.0000,26.5000,26.5000,1299000
2026-07-16,27.0200,27.0200,25.5800,25.7500,25.7500,1811600
2026-07-17,24.3000,24.9700,24.2300,24.8300,24.8300,1305000
2026-07-20,24.9770,25.5500,24.5800,24.8000,24.8000,276600
2026-07-21,24.8500,25.2800,24.8500,25.2600,25.2600,195700
2026-07-22,25.0500,25.1900,24.8600,25.1000,25.1000,143400
2026-07-23,24.1000,24.4000,23.9500,24.0600,24.0600,198800
2026-07-24,23.8300,23.8850,23.5800,23.6680,23.6680,185600
2026-07-27,23.5900,23.8700,23.3000,23.5700,23.5700,220900
2026-07-28,21.9000,22.0600,21.7500,21.9600,21.9600,281900
2026-07-29,21.6300,22.3500,21.1200,21.2900,21.2900,247900
2026-07-30,23.2600,27.5370,23.2500,25.2000,25.2000,395500
2026-07-31,26.7000,27.3110,25.9300,26.8000,26.8000,365500
2026-08-03,26.5400,26.9900,26.5400,26.9700,26.9700,124100
2026-08-04,26.9100,27.3800,26.7000,27.3300,27.3300,258400
2026-08-05,28.4900,28.9100,28.4300,28.4700,28.4700,143700
2026-08-06,27.6300,28.1500,27.6300,27.8300,27.8300,215000
2026-08-07,27.7700,27.7700,27.4000,27.6000,27.6000,82700
