Date,Open,High,Low,Close,AdjClose,Volume
2025-01-02,514.3000,516.6400,505.7100,510.2300,506.4595,36389800
2025-01-03,513.3500,519.6500,512.5300,518.5800,514.7479,29059500
2025-01-06,524.0200,527.9200,522.0300,524.5400,520.6637,36109700
2025-01-07,525.5900,525.9900,513.2800,515.1800,511.3729,36690300
2025-01-08,515.0800,516.9200,510.5700,515.2700,511.4623,30777800
2025-01-10,511.4800,511.5800,503.9200,507.1900,503.4420,40532500
2025-01-13,501.2000,506.0200,499.7000,505.5600,501.8240,31694200
2025-01-14,508.7400,510.1600,501.5900,505.0800,501.3475,33737200
2025-01-15,513.0300,517.8500,511.4600,516.7000,512.8817,34957600
2025-01-16,518.9800,519.0600,512.9500,513.0800,509.2885,28229000
2025-01-17,522.8500,524.0700,513.1100,521.7400,517.8845,51837900
2025-01-21,524.4800,525.9700,520.0600,524.8000,520.9219,23628000
2025-01-22,529.5700,533.8200,529.2600,531.5100,527.5823,33593000
2025-01-23,529.0400,532.7600,528.4500,532.6400,528.7039,23096600
2025-01-24,533.0200,533.7900,528.1500,529.6300,525.7160,19878300
2025-01-27,511.0000,517.9900,510.1500,514.2100,510.4101,60771700
2025-01-28,515.2200,523.0000,511.7800,521.8100,517.9539,33194200
2025-01-29,522.4600,522.5900,516.9000,520.8300,516.9812,26649000
2025-01-30,523.7100,526.1000,518.2100,523.0500,519.1848,27431300
2025-01-31,526.9200,531.5200,521.1900,522.2900,518.4303,38755200
2025-02-03,513.4700,520.8500,511.0500,518.1100,514.2812,40580800
2025-02-04,518.6300,525.1100,518.2300,524.4700,520.5942,26046800
2025-02-05,521.8200,527.0100,520.6200,526.8500,522.9567,21134100
2025-02-06,527.3600,529.8100,525.7400,529.6000,525.6863,19434500
2025-02-07,530.1400,532.1000,522.1900,522.9200,519.0557,29605500
2025-02-10,527.2200,530.3600,526.7500,529.2500,525.3389,20852800
2025-02-11,525.9600,529.9200,525.8300,527.9900,524.0883,19325500
2025-02-12,522.3000,529.1900,521.9500,528.3000,524.3959,25009400
2025-02-13,529.9800,536.2200,529.1900,535.9000,531.9398,28714800
2025-02-14,536.0100,538.8400,535.6700,538.1500,534.1732,17862600
2025-02-18,539.7300,540.0000,536.0400,539.3700,535.3841,20565000
2025-02-19,538.5700,540.8100,536.4600,539.5200,535.5331,19666900
2025-02-20,538.7300,539.1000,532.4600,537.2300,533.2599,26550800
2025-02-21,538.3800,538.4000,525.7100,526.0800,522.1924,47093800
2025-02-24,527.8800,529.0700,519.5300,519.8700,516.0283,39268400
2025-02-25,519.2400,519.3200,509.4400,513.3200,509.5267,48940000
2025-02-26,515.5300,519.6600,511.3700,514.5600,510.7575,34457600
2025-02-27,518.1300,519.0700,500.0500,500.2700,496.5731,52448000
2025-02-28,500.1300,508.7800,496.9300,508.1700,504.4148,47654000
2025-03-03,511.5200,513.0400,493.5800,497.0500,493.3769,44587200
2025-03-04,494.1800,503.7400,487.7400,495.5500,491.8880,67875400
2025-03-05,496.2000,503.6300,491.2600,502.0100,498.3002,46323700
2025-03-06,493.6900,498.5800,486.2000,488.2000,484.5923,57574300
2025-03-07,487.1600,493.2800,480.5300,491.7900,488.1558,54714700
2025-03-10,483.4500,483.9700,468.6600,472.7300,469.2367,76668000
2025-03-11,472.3500,478.8100,467.0100,471.6000,468.1150,68760800
2025-03-12,479.1600,481.0600,471.7900,476.9200,473.3957,46971100
2025-03-13,476.2500,476.2800,466.4300,468.3400,464.8791,46563300
2025-03-14,473.7300,480.5600,473.1200,479.6600,476.1154,43563000
2025-03-17,479.6100,485.8400,477.8000,482.7700,479.2024,41744400
2025-03-18,479.4100,479.6100,472.4100,474.5400,471.0333,39072300
2025-03-19,476.8100,485.3300,474.8700,480.8900,477.3363,40430300
2025-03-20,476.8800,484.5500,476.1800,479.2600,475.7184,36780500
2025-03-21,474.0800,481.6100,472.9100,480.8400,477.2867,42234900
2025-03-24,487.7400,491.5100,484.4000,490.6600,487.7604,34567200
2025-03-25,491.3900,493.6200,490.4200,493.4600,490.5438,26035200
2025-03-26,492.3000,493.1600,482.8200,484.3800,481.5175,34627100
2025-03-27,482.4100,486.5800,480.2500,481.6200,478.7738,33469800
2025-03-28,479.8100,480.5200,468.0500,468.9400,466.1688,46363800
2025-03-31,461.9200,469.8600,457.3300,468.9200,466.1489,53000300
2025-04-01,467.3000,473.6300,464.4200,472.7000,469.9066,41156200
2025-04-02,466.1200,479.5600,465.8600,476.1500,473.3362,49894500
2025-04-03,456.4400,460.0700,450.1400,450.6600,447.9969,70456300
2025-04-04,438.1400,440.3700,422.6700,422.6700,420.1722,117088400
2025-04-07,408.6600,443.1400,402.3900,423.6900,421.1862,161557000
2025-04-08,438.1600,443.1400,409.7900,416.0600,413.6013,101248100
2025-04-09,415.5700,467.8300,415.4300,466.0000,463.2461,142876900
2025-04-10,453.5600,455.5900,432.6300,446.1800,443.5433,108384100
2025-04-11,444.6500,455.7900,441.3300,454.4000,451.7147,52483800
2025-04-14,464.4600,465.0500,452.6300,457.4800,454.7765,43941200
2025-04-15,458.5400,462.3800,456.1500,457.9900,455.2835,35404200
2025-04-16,449.0300,452.6200,437.7600,444.1800,441.5551,48980600
2025-04-17,447.1700,447.7500,441.3600,444.1000,441.4756,44837000
2025-04-21,438.2300,439.0800,427.9300,433.1100,430.5505,44149300
2025-04-22,438.8200,447.5800,437.6200,444.4800,441.8533,52304400
2025-04-23,458.1700,463.3800,452.8800,454.5600,451.8737,55801100
2025-04-24,456.4800,467.6600,455.8300,467.3500,464.5881,45956100
2025-04-25,466.9700,473.0900,465.3900,472.5600,469.7674,38697100
2025-04-28,473.0300,474.8100,466.0300,472.4100,469.6183,33550800
2025-04-29,470.1700,476.4200,469.5900,475.5300,472.7198,30613100
2025-04-30,467.1300,477.2000,462.4300,475.4700,472.6602,46810600
