Date,Open,High,Low,Close,AdjClose,Volume
2026-08-17,31.4400,31.5900,31.3200,31.5200,31.5200,180100
2026-08-18,32.1300,32.1400,31.7600,31.8300,31.8300,74700
2026-08-19,32.0800,32.1800,31.8400,31.8700,31.8700,68700
2026-08-20,32.8000,32.9400,32.6600,32.6800,32.6800,61400
2026-08-21,32.8700,32.9100,32.5800,32.6800,32.6800,42300
2026-08-24,31.9100,32.0400,31.5500,31.7300,31.7300,57800
2026-08-25,31.4600,31.5700,31.2000,31.2000,31.2000,44600
2026-08-26,31.1200,31.4800,31.1100,31.2000,31.2000,80500
2026-08-27,31.0800,31.1300,30.6000,30.8700,30.8700,69800
2026-08-28,30.8700,31.0500,30.7700,30.9000,30.9000,81000
2026-08-31,31.7800,31.9900,31.5900,31.8600,31.8600,58500
2026-09-01,32.3100,32.8400,32.1400,32.8400,32.8400,40800
2026-09-02,32.5500,32.7700,32.3700,32.6100,32.6100,508200
2026-09-03,32.6900,33.0300,32.6700,32.8100,32.8100,71300
2026-09-04,32.4800,32.5300,31.9900,32.3300,32.3300,130000
2026-09-08,32.4800,32.5270,31.9900,32.3300,32.3300,
2026-09-09,32.6800,33.1100,32.6800,33.0800,33.0800,
