Date,Open,High,Low,Close,AdjClose,Volume
2026-06-10,85.5700,85.7800,83.5900,83.9200,83.9200,108800
2026-06-11,84.3300,87.3300,84.2200,87.0800,87.0800,162900
2026-06-12,88.7200,89.0900,87.4200,88.2700,88.2700,212900
2026-06-15,93.4200,93.4200,91.3800,91.3800,91.3800,140200
2026-06-16,94.2200,94.4200,93.5400,93.8000,93.8000,221800
2026-06-17,93.8600,94.5700,92.7500,92.9000,92.9000,215800
2026-06-18,95.2900,95.9900,94.6600,95.4700,95.4700,141700
2026-06-22,94.4300,94.9100,93.9600,94.6900,94.6900,233900
2026-06-23,94.4100,95.3000,94.1400,94.5400,94.5400,148400
2026-06-24,95.4800,96.1900,95.1300,95.8700,95.8700,143700
2026-06-25,97.3900,98.1900,96.6700,97.1100,97.1100,654300
2026-06-26,94.9100,95.6600,94.4100,94.8100,94.8100,480700
2026-06-29,94.7800,96.7300,94.7100,96.5400,96.5400,630200
2026-06-30,97.5800,98.8600,97.5000,98.2700,98.2700,305000
2026-07-01,99.1500,100.0300,98.9200,99.6000,99.6000,167800
2026-07-02,101.7900,102.4300,100.3600,100.9500,100.9500,128500
2026-07-06,101.2700,102.4600,101.2700,102.3300,102.3300,125700
2026-07-07,100.3800,100.4800,98.4600,98.8800,98.8800,154800
2026-07-08,95.2600,96.0700,94.1000,95.6100,95.6100,156900
2026-07-09,96.2100,97.5400,96.0800,97.2800,97.2800,111000
2026-07-10,96.2000,96.3300,94.9300,96.0500,96.0500,99400
2026-07-13,94.2800,94.4500,93.2700,93.3000,93.3000,118000
2026-07-14,92.8300,94.2000,92.8300,92.9500,92.9500,190400
2026-07-15,93.1800,94.9300,92.6400,94.5100,94.5100,186300
2026-07-16,93.1200,94.1000,92.1400,93.4400,93.4400,153200
2026-07-17,92.8400,94.6900,92.8100,94.2000,94.2000,95600
2026-07-20,93.2500,93.4000,91.9500,92.1000,92.1000,179900
2026-07-21,91.4900,93.7200,90.5800,93.6500,93.6500,218900
2026-07-22,92.9200,93.6200,92.7900,93.2300,93.2300,597000
2026-07-23,90.6600,92.1000,90.6600,91.3200,91.3200,482700
2026-07-24,92.9600,94.1600,92.8000,93.6600,93.6600,139100
2026-07-27,96.2100,97.1700,93.5200,94.7800,94.7800,197600
2026-07-28,96.8700,98.2100,96.6500,97.4700,97.4700,207800
2026-07-29,97.4400,98.5700,96.2000,97.2300,97.2300,209900
2026-07-30,98.4400,99.1000,97.3900,99.0000,99.0000,314900
2026-07-31,97.7400,98.7800,96.7900,98.7800,98.7800,277600
2026-08-03,100.8200,101.3700,100.6200,101.3000,101.3000,136300
2026-08-04,103.1100,103.2100,101.9300,102.9000,102.9000,145600
2026-08-05,103.8100,104.0700,103.0500,103.4600,103.4600,177200
2026-08-06,103.3900,103.8300,101.8600,102.0900,102.0900,124800
2026-08-07,103.6600,103.6600,102.5400,103.0300,103.0300,98100
2026-08-10,103.8000,104.9800,103.6900,104.2600,104.2600,313100
2026-08-11,104.2300,105.0400,103.7300,104.0300,104.0300,131500
2026-08-12,105.0200,105.0900,104.0200,104.5300,104.5300,223900
2026-08-13,103.7800,104.0700,102.4000,102.8600,102.8600,451800
2026-08-14,104.4500,104.7200,103.9600,103.9600,103.9600,82600
2026-08-17,104.9500,105.3400,103.9600,104.0800,104.0800,425700
2026-08-18,102.3800,102.8000,101.9800,102.2700,102.2700,443100
2026-08-19,102.8000,102.9000,101.5400,101.6500,101.6500,150500
2026-08-20,100.9600,101.0200,99.6900,99.7000,99.7000,112800
2026-08-21,100.0700,100.3300,99.6500,99.8800,99.8800,347200
2026-08-24,99.2400,99.4400,98.6700,98.8700,98.8700,177900
2026-08-25,101.2200,101.2200,100.0900,100.2700,100.2700,80300
2026-08-26,102.2000,103.0900,101.6600,101.7900,101.7900,160800
2026-08-27,101.2000,101.2000,99.4300,99.6800,99.6800,130800
2026-08-28,100.5000,100.6900,99.1800,99.5800,99.5800,99200
2026-08-31,98.6200,98.6200,96.9800,97.2600,97.2600,108500
2026-09-01,95.9100,96.3400,95.2100,95.2600,95.2600,110200
2026-09-02,96.7400,96.7400,94.8400,95.0600,95.0600,124500
2026-09-03,96.3900,96.4900,95.4000,96.3300,96.3300,121300
2026-09-04,96.2000,97.1600,96.2000,96.7300,96.7300,85900
2026-09-08,96.1200,96.9500,95.8600,96.2400,96.2400,8889
