Date,Open,High,Low,Close,AdjClose,Volume
2025-01-31,15.1000,15.1100,14.8700,14.8800,14.6438,965400
2025-02-03,14.5900,14.8800,14.5900,14.8300,14.5946,2526300
2025-02-04,14.7700,14.9400,14.7600,14.8200,14.5848,1829100
2025-02-05,14.9700,15.0600,14.9000,15.0200,14.7816,1668500
2025-02-06,14.9400,15.1500,14.8900,15.0700,14.8308,2778500
2025-02-07,14.9500,14.9700,14.7400,14.7900,14.5552,1737000
2025-02-10,14.6900,14.7300,14.6100,14.6100,14.3781,1315100
2025-02-11,14.5400,14.7300,14.5400,14.6700,14.4371,958900
2025-02-12,14.5400,14.7100,14.5200,14.6300,14.3978,1296200
2025-02-13,14.7700,14.8900,14.7200,14.8300,14.5946,1022900
2025-02-14,15.0300,15.2400,15.0100,15.1300,14.8898,1617900
2025-02-18,15.5400,15.6900,15.5200,15.5900,15.3425,1707100
2025-02-19,15.7900,15.8300,15.6700,15.7400,15.4902,1692400
2025-02-20,15.6800,15.7400,15.6000,15.6300,15.3819,1146000
2025-02-21,15.6000,15.6200,15.2900,15.2900,15.0473,992000
2025-02-24,15.3500,15.4000,15.0400,15.2000,14.9587,1764500
2025-02-25,15.6000,15.6400,15.2800,15.4300,15.1851,1436000
2025-02-26,15.4600,15.5200,15.3600,15.4000,15.1556,1054000
2025-02-27,15.5100,15.6000,15.4800,15.5100,15.2638,955000
2025-02-28,15.2400,15.3300,15.1600,15.3100,15.0670,955900
2025-03-03,15.5200,15.6500,15.3500,15.3900,15.1457,1112300
2025-03-04,15.2100,15.3300,14.9300,15.1700,14.9292,1613700
2025-03-05,15.2800,15.5100,15.2500,15.4600,15.2146,733900
2025-03-06,15.4900,15.5600,15.3200,15.3700,15.1260,822200
2025-03-07,15.3400,15.3900,15.1200,15.3800,15.1359,999500
2025-03-10,15.0900,15.1500,14.8000,14.9100,14.6733,1046100
2025-03-11,14.8700,14.9900,14.7100,14.8900,14.6537,1066300
2025-03-12,15.2200,15.3500,15.1300,15.2900,15.0473,581600
2025-03-13,15.5000,15.6100,15.4400,15.4800,15.2343,797200
2025-03-14,15.7300,15.9600,15.7300,15.9000,15.6476,1068800
2025-03-17,15.8200,16.0700,15.8200,16.0400,15.7854,1600800
2025-03-18,16.0400,16.2000,15.9800,16.1900,15.9330,944500
2025-03-19,16.1300,16.3900,16.0400,16.3100,16.0511,1391300
2025-03-20,16.2200,16.3500,16.2200,16.2600,16.0019,794900
2025-03-21,16.7100,16.7400,16.6000,16.7200,16.4546,876600
2025-03-24,16.5100,16.5600,16.3500,16.3600,16.1003,1312300
2025-03-25,16.0100,16.2500,16.0000,16.2500,15.9921,1043900
