Date,Open,High,Low,Close,AdjClose,Volume
2025-01-02,589.3900,591.1300,580.5000,584.6400,574.7996,50204000
2025-01-03,587.5300,592.6000,586.4300,591.9500,581.9865,37888500
2025-01-06,596.2700,599.7000,593.6000,595.3600,585.3391,47679400
2025-01-07,597.4200,597.7500,586.7800,588.6300,578.7224,60393100
2025-01-08,588.7000,590.5800,585.2000,589.4900,579.5679,47304700
2025-01-10,585.8800,585.9500,578.5500,580.4900,570.7194,73105000
2025-01-13,575.7700,581.7500,575.3500,581.3900,571.6042,47910100
2025-01-14,584.3600,585.0000,578.3500,582.1900,572.3907,48420600
2025-01-15,590.3300,593.9400,589.2000,592.7800,582.8025,56900200
2025-01-16,594.1700,594.3500,590.9300,591.6400,581.6817,43319700
2025-01-17,596.9600,599.3600,595.6100,597.5800,587.5217,58070600
2025-01-21,600.6700,603.0600,598.6700,603.0500,592.8997,42532900
2025-01-22,605.9200,607.8200,605.3600,606.4400,596.2326,48196000
2025-01-23,605.8000,609.7500,605.5200,609.7500,599.4868,41152100
2025-01-24,609.8100,610.7800,606.8000,607.9700,597.7369,34604700
2025-01-27,594.8100,599.6900,594.6400,599.3700,589.2816,70361100
2025-01-28,600.6200,605.3700,597.2500,604.5200,594.3449,44433300
2025-01-29,603.7200,604.1300,599.2200,601.8100,591.6804,37177400
2025-01-30,603.9600,606.6000,600.7200,605.0400,594.8561,39281300
2025-01-31,607.5000,609.9600,601.0500,601.8200,591.6903,66566900
2025-02-03,592.6700,600.2900,590.4900,597.7700,587.7086,65857200
2025-02-04,597.8300,602.3000,597.2800,601.7800,591.6511,33457800
2025-02-05,600.6400,604.3700,598.5800,604.2200,594.0499,30653100
2025-02-06,605.9900,606.4500,602.6300,606.3200,596.1146,35771500
2025-02-07,606.8900,608.1300,600.0500,600.7700,590.6581,50788500
2025-02-10,604.0300,605.5000,602.7400,604.8500,594.6693,26048700
2025-02-11,602.5500,605.8600,602.4300,605.3100,595.1216,30056700
2025-02-12,599.2000,604.5500,598.5100,603.3600,593.2044,45076100
2025-02-13,604.4800,609.9400,603.2000,609.7300,599.4672,40921300
2025-02-14,609.9400,610.9900,609.0700,609.7000,599.4377,26910400
2025-02-18,610.8800,611.4900,608.3800,611.4900,601.1976,26749000
2025-02-19,610.0800,613.2300,609.5600,612.9300,602.6133,31011100
2025-02-20,611.5400,611.6800,607.0200,610.3800,600.1063,36554000
2025-02-21,610.1600,610.3000,599.4700,599.9400,589.8419,76519800
2025-02-24,602.0200,603.0300,596.4900,597.2100,587.1580,50737200
2025-02-25,597.1500,597.8900,589.5600,594.2400,584.2380,58266500
2025-02-26,595.9300,599.5800,591.8600,594.5400,584.5328,43321600
2025-02-27,596.8500,598.0200,584.6500,585.0500,575.2025,74196700
2025-02-28,585.5600,594.7200,582.4400,594.1800,584.1790,88744100
2025-03-03,596.1800,597.3400,579.9000,583.7700,573.9442,74249200
2025-03-04,579.7100,585.3900,572.2500,576.8600,567.1505,109648200
2025-03-05,576.6900,584.8800,573.0800,583.0600,573.2461,71230500
2025-03-06,575.4800,580.1700,570.1200,572.7100,563.0703,80094900
2025-03-07,570.9000,577.3900,565.6300,575.9200,566.2263,81158800
2025-03-10,567.5900,569.5400,555.5900,560.5800,551.1445,99326600
2025-03-11,559.4000,564.0200,552.0200,555.9200,546.5629,88102100
2025-03-12,562.1700,563.1100,553.6900,558.8700,549.4633,69588200
2025-03-13,558.4900,559.1100,549.6800,551.4200,542.1386,74079400
2025-03-14,556.1100,563.8300,551.4900,562.8100,553.3370,62660300
2025-03-17,562.7900,569.7100,562.3500,567.1500,557.6039,49008700
2025-03-18,564.8000,565.0200,559.0600,561.0200,551.5771,66041400
2025-03-19,562.8300,570.9500,561.6300,567.1300,557.5843,66556000
2025-03-20,563.3300,570.5700,562.6000,565.4900,555.9718,62958200
2025-03-21,559.2800,564.8900,558.0300,563.9800,556.1553,83763000
