Date,Open,High,Low,Close,AdjClose,Volume
2026-05-14,11.5000,12.0375,11.5000,11.9800,11.9800,472000
2026-05-15,11.9775,11.9775,11.7875,11.9025,11.9025,468800
2026-05-18,11.8650,11.8650,11.4750,11.5700,11.5700,598000
2026-05-19,11.7500,11.7500,11.2950,11.3750,11.3750,377600
2026-05-20,11.2500,11.4475,11.0650,11.2900,11.2900,301600
2026-05-21,11.0275,11.3100,11.0275,11.2825,11.2825,343600
2026-05-22,11.1025,11.2525,11.1025,11.1925,11.1925,230000
2026-05-26,11.5200,11.6175,11.5200,11.5775,11.5775,1015200
2026-05-27,11.3475,11.3475,11.2725,11.3100,11.3100,298000
2026-05-28,11.1525,11.3050,11.1050,11.2450,11.2450,729200
2026-05-29,11.1250,11.1400,11.0100,11.0125,11.0125,444000
2026-06-01,10.8725,10.9550,10.8225,10.9075,10.9075,449600
2026-06-02,11.0925,11.0925,10.6675,10.7550,10.7550,353600
2026-06-03,10.6950,10.7550,10.5900,10.6300,10.6300,328800
2026-06-04,10.6250,10.7000,10.5225,10.6600,10.6600,201600
2026-06-05,10.6075,10.7125,10.3975,10.3975,10.3975,307600
2026-06-08,10.4525,10.5700,10.4525,10.5300,10.5300,361200
2026-06-09,10.3075,10.6025,10.0675,10.2025,10.2025,449200
2026-06-10,9.9100,9.9400,9.7900,9.8025,9.8025,263600
2026-06-11,9.6525,9.9075,9.6300,9.8925,9.8925,446400
2026-06-12,9.7975,9.9150,9.7975,9.8950,9.8950,208400
2026-06-15,10.2675,10.2675,10.1700,10.2025,10.2025,380800
2026-06-16,10.2025,10.2800,10.2025,10.2275,10.2275,298400
2026-06-17,10.2450,10.3450,10.1800,10.1975,10.1975,220800
2026-06-18,10.1450,10.2000,10.1300,10.1775,10.1775,218400
2026-06-22,10.4275,10.4275,10.0525,10.0775,10.0775,462400
2026-06-23,10.0000,10.0850,9.7600,9.8375,9.8375,368800
2026-06-24,9.8500,9.8725,9.6400,9.7000,9.7000,285600
2026-06-25,9.5425,9.5425,9.4000,9.4175,9.4175,256800
2026-06-26,9.5875,9.8125,9.5600,9.6950,9.6950,231600
2026-06-29,9.4950,9.6250,9.3775,9.5550,9.5550,218000
2026-06-30,9.1725,9.7300,9.1725,9.5725,9.5725,592800
2026-07-01,9.6000,9.8225,9.6000,9.7400,9.7400,319600
2026-07-02,10.2100,10.2100,9.4450,9.8400,9.8400,198000
2026-07-06,9.5000,9.9500,9.5000,9.9500,9.9500,372800
2026-07-07,10.3275,10.3275,9.6725,9.8450,9.8450,323600
2026-07-08,9.1875,9.9075,9.1875,9.6000,9.6000,261600
2026-07-09,9.8150,9.9550,9.3750,9.7075,9.7075,241600
2026-07-10,9.7000,10.2500,9.6000,9.6900,9.6900,103900
2026-07-13,9.2300,9.7000,9.2300,9.6100,9.6100,318600
2026-07-14,9.8800,9.8800,9.6600,9.7100,9.7100,287700
2026-07-15,9.8000,9.8000,9.6600,9.7100,9.7100,248600
2026-07-16,9.6100,9.7400,9.6100,9.6700,9.6700,394900
2026-07-17,9.4100,9.4100,9.2400,9.3500,9.3500,305900
2026-07-20,9.4600,9.4700,8.9900,9.3700,9.3700,281300
2026-07-21,9.5000,9.7600,9.4000,9.7100,9.7100,266400
2026-07-22,9.7500,9.8300,9.7500,9.8000,9.8000,179400
2026-07-23,9.8400,9.8700,9.7600,9.7700,9.7700,362500
2026-07-24,9.8700,9.8800,9.7800,9.8200,9.8200,311400
2026-07-27,9.8400,9.9200,9.7100,9.7800,9.7800,455500
2026-07-28,9.8000,9.8500,9.6700,9.8000,9.8000,533200
2026-07-29,9.7600,9.9500,9.7200,9.7900,9.7900,267900
2026-07-30,9.8900,10.2500,9.8500,10.1200,10.1200,444000
2026-07-31,10.0600,10.7000,10.0600,10.3800,10.3800,244800
2026-08-03,10.3100,10.5300,10.3100,10.5200,10.5200,373100
2026-08-04,10.6200,10.6900,10.5400,10.6600,10.6600,247500
2026-08-05,10.8500,11.0000,10.8200,10.8700,10.8700,262100
2026-08-06,10.9700,11.1300,10.9700,11.0200,11.0200,313400
2026-08-07,11.5600,11.5600,11.3600,11.4500,11.4500,316500
2026-08-10,11.2800,11.5000,11.1600,11.1900,11.1900,354000
2026-08-11,11.4300,11.4300,11.1900,11.2300,11.2300,198300
2026-08-12,11.2900,11.5500,11.2500,11.2800,11.2800,227600
2026-08-13,11.2200,11.2700,11.1800,11.1900,11.1900,189400
2026-08-14,11.3100,11.3500,11.2000,11.2500,11.2500,207600
2026-08-17,11.0200,11.0600,10.9100,11.0100,11.0100,239600
2026-08-18,11.1300,11.1300,10.8900,10.9000,10.9000,147400
2026-08-19,10.8000,10.9000,10.6500,10.7000,10.7000,217800
2026-08-20,10.6200,10.7500,10.5600,10.6500,10.6500,213300
2026-08-21,10.7800,10.9000,10.7800,10.8000,10.8000,169500
2026-08-24,11.1400,11.1800,11.0800,11.1400,11.1400,178600
2026-08-25,11.0900,11.1900,11.0900,11.1800,11.1800,240100
2026-08-26,11.1100,11.1100,11.0000,11.0100,11.0100,217100
2026-08-27,10.8900,11.0300,10.8900,11.0100,11.0100,130700
2026-08-28,11.1500,11.2400,11.0400,11.0900,11.0900,145700
2026-08-31,11.2400,11.2400,11.1500,11.1600,11.1600,241300
2026-09-01,11.3300,11.4800,11.3300,11.3500,11.3500,189600
2026-09-02,11.5400,11.5400,11.2300,11.3400,11.3400,208600
2026-09-03,11.7900,11.9700,11.7700,11.8900,11.8900,169100
2026-09-04,11.7500,12.0900,11.6600,11.7100,11.7100,162400
2026-09-08,11.7500,12.0900,11.6600,11.7100,11.7100,
2026-09-09,12.4200,12.4200,11.4800,11.9940,11.9940,
2026-09-10,12.4500,12.4500,11.8500,11.8500,11.8500,
2026-09-11,12.2500,12.2500,11.5700,11.6300,11.6300,
