Date,Open,High,Low,Close,AdjClose,Volume
2026-06-05,34.3000,35.0100,34.0900,34.1900,34.1900,5713200
2026-06-08,34.3500,34.9500,33.0700,33.2600,33.2600,5750400
2026-06-09,33.4800,34.4800,32.9100,34.4500,34.4500,6366500
2026-06-10,34.0200,34.2000,33.4800,33.5800,33.5800,3857500
2026-06-11,34.0100,34.7400,33.9900,34.5600,34.5600,7228700
2026-06-12,34.8100,34.8800,33.8800,34.6300,34.6300,5928100
2026-06-15,34.9100,35.2500,33.6200,33.6900,33.6900,5241600
2026-06-16,33.5800,33.7000,32.8000,32.9100,32.9100,5304900
2026-06-17,32.7400,32.9200,32.2300,32.5600,32.5600,5539400
2026-06-18,32.3800,32.3800,30.8000,31.4800,31.4800,12241500
2026-06-22,31.3700,32.3900,31.2800,32.2000,32.2000,6111100
2026-06-23,32.1400,33.3400,32.1200,33.2100,33.2100,5567200
2026-06-24,33.3200,34.5900,33.1600,34.2200,34.2200,7249300
2026-06-25,34.1400,34.6900,33.4000,33.6200,33.6200,7447600
2026-06-26,33.4700,34.1400,32.9600,33.2100,33.2100,4703600
2026-06-29,33.1000,33.4800,32.9600,33.3100,33.3100,3271600
2026-06-30,33.2800,34.2800,33.0000,33.8800,33.8800,5396100
2026-07-01,33.8300,34.0800,33.2600,33.4400,33.4400,4241100
2026-07-02,33.8700,34.9200,33.5900,34.6400,34.6400,4814800
2026-07-06,35.0000,35.4700,34.5800,35.2900,35.2900,4116800
2026-07-07,35.2100,35.3300,34.2300,34.6500,34.6500,5566000
2026-07-08,34.1700,34.1700,32.5700,33.2400,33.2400,6623500
2026-07-09,32.8900,33.1400,32.4100,33.1000,33.1000,5112800
2026-07-10,33.0200,33.3500,32.7000,32.9500,32.9500,6638100
2026-07-13,32.5200,32.8100,32.1400,32.1800,32.1800,4231200
2026-07-14,32.0400,32.2700,31.6600,31.8200,31.8200,3452200
2026-07-15,31.8200,31.9700,31.2800,31.5600,31.5600,5519700
2026-07-16,31.6400,32.4200,31.5400,32.2200,32.2200,4453500
2026-07-17,32.1300,32.6900,31.9600,32.0300,32.0300,3612300
2026-07-20,32.2400,32.2600,30.9500,31.0000,31.0000,4515200
2026-07-21,31.1300,31.5300,30.7200,31.3500,31.3500,4849300
2026-07-22,30.8600,31.2000,30.1300,30.1500,30.1500,5116800
2026-07-23,29.9400,31.2000,29.6000,31.1800,31.1800,4451400
2026-07-24,31.2300,31.8600,30.7700,30.8100,30.8100,3132600
2026-07-27,31.2700,31.2900,30.9100,31.0800,31.0800,5305600
2026-07-28,31.1800,31.8800,31.0200,31.6700,31.6700,5055200
2026-07-29,33.6700,35.6900,33.4800,34.7100,34.7100,17759400
2026-07-30,34.3500,35.8700,34.2700,35.4100,35.4100,8768000
2026-07-31,35.6000,35.6600,34.5600,35.0100,35.0100,4695000
2026-08-03,35.0000,35.0700,33.7800,34.4600,34.4600,6208500
2026-08-04,34.6200,34.6500,34.0500,34.4300,34.4300,4924500
2026-08-05,34.2500,34.9800,33.8900,34.7200,34.7200,4963000
2026-08-06,34.5400,34.9200,34.3800,34.8100,34.8100,4132100
2026-08-07,35.0000,35.7700,34.8700,35.3600,35.3600,4271700
2026-08-10,35.0300,36.1400,35.0000,36.1400,36.1400,5608100
2026-08-11,36.1700,36.9800,36.1300,36.4800,36.4800,8040900
2026-08-12,36.8000,37.2400,36.4400,36.7400,36.7400,5700900
2026-08-13,36.9000,37.3900,36.4600,36.5200,36.5200,7608700
2026-08-14,36.2600,36.8100,36.0900,36.7700,36.7700,2332500
2026-08-17,36.5300,36.7800,35.9900,36.4600,36.4600,3584900
2026-08-18,36.4700,37.2500,36.3400,36.5800,36.5800,6197200
2026-08-19,37.0000,37.8300,36.6000,37.4700,37.4700,7975500
2026-08-20,37.1200,37.3500,36.7400,36.8100,36.8100,4513300
2026-08-21,36.7900,37.7500,36.6500,37.3400,37.3400,4300100
2026-08-24,37.3000,37.3200,36.7500,36.9300,36.9300,3338800
2026-08-25,37.1300,38.1100,37.0900,38.1000,38.1000,5278700
2026-08-26,37.7000,38.0600,37.0700,37.9200,37.9200,4815800
2026-08-27,37.7200,38.3700,37.5400,37.6200,37.6200,4721200
2026-08-28,37.3700,37.4200,36.3700,36.4400,36.4400,3139200
2026-08-31,36.1700,36.3300,35.6200,36.0500,36.0500,5778700
2026-09-01,36.5200,36.5500,35.8500,36.1900,36.1900,3515600
2026-09-02,36.6500,37.5900,35.7400,37.4900,37.4900,7689600
2026-09-03,37.9800,38.0600,36.3300,36.6200,36.6200,3904400
2026-09-04,36.4000,36.9300,36.1300,36.3600,36.3600,7401200
2026-09-08,35.8900,36.9650,35.4200,36.7600,36.7600,
2026-09-09,36.8200,37.3150,36.4700,36.8500,36.8500,
2026-09-10,36.3700,36.7500,36.0400,36.3500,36.3500,
