Date,Open,High,Low,Close,AdjClose,Volume
2026-04-23,141.0400,143.9500,141.0000,143.6000,143.6000,110600
2026-04-24,145.9300,146.3200,144.4200,145.8000,145.8000,90100
2026-04-27,151.8600,151.8600,144.9200,146.9000,146.9000,143100
2026-04-28,139.7800,139.9200,137.2200,139.3100,139.3100,144300
2026-04-29,138.6900,140.8700,138.6900,139.5300,139.5300,74500
2026-04-30,147.0000,151.3200,146.0400,150.3000,150.3000,139700
2026-05-01,151.0100,153.7000,151.0000,153.3200,153.3200,57100
2026-05-04,153.0000,156.3900,152.8200,156.2000,156.2000,82300
2026-05-05,156.5000,160.6000,155.7600,159.5100,159.5100,86100
2026-05-06,165.5500,166.6400,161.5000,166.2500,166.2500,99700
2026-05-07,166.2500,166.2500,161.0600,162.6400,162.6400,298500
2026-05-08,171.1600,173.5000,169.2500,172.3900,172.3900,124200
2026-05-11,167.4900,169.1400,166.5300,168.4600,168.4600,383300
2026-05-12,163.7700,164.4500,160.6000,163.2200,163.2200,105000
2026-05-13,162.2500,167.8700,162.2500,165.0000,165.0000,142000
2026-05-14,162.3000,163.7000,161.5000,162.9200,162.9200,101100
2026-05-15,161.8800,163.1200,155.5500,160.0800,160.0800,86200
2026-05-18,159.0000,159.0000,153.5300,156.2000,156.2000,128000
2026-05-19,145.7700,151.1800,145.7700,149.8400,149.8400,87300
2026-05-20,146.0000,150.6700,146.0000,150.6700,150.6700,82000
2026-05-21,152.7000,155.7700,152.2100,155.6600,155.6600,69400
2026-05-22,156.5600,158.4300,155.7000,157.0400,157.0400,74700
2026-05-26,163.3800,164.9300,160.0000,164.8200,164.8200,78700
2026-05-27,165.3500,166.3700,161.9400,163.7500,163.7500,152800
2026-05-28,164.0000,168.6200,163.1500,168.3600,168.3600,83600
2026-05-29,169.1100,170.7500,168.6700,169.9200,169.9200,94200
2026-06-01,166.3300,170.8400,164.8400,170.2500,170.2500,126700
2026-06-02,169.5000,172.4200,168.5200,172.1500,172.1500,694800
2026-06-03,186.0000,194.5500,185.8300,187.0000,187.0000,364700
2026-06-04,193.8400,201.6200,192.8100,200.5000,200.5000,441100
2026-06-05,188.4400,188.4400,178.0000,178.9600,178.9600,535400
2026-06-08,181.8000,184.9800,177.4900,182.5100,182.5100,579200
2026-06-09,191.1300,195.9900,178.2300,189.3700,189.3700,507000
2026-06-10,193.7000,203.7200,189.8000,190.5000,190.5000,914100
2026-06-11,198.0100,211.9000,197.9700,211.4500,211.4500,559400
2026-06-12,215.6800,218.9900,214.7500,217.6500,217.6500,516400
2026-06-15,228.8500,231.3300,227.3100,228.5000,228.5000,469600
2026-06-16,222.1400,226.2100,218.4200,218.9400,218.9400,775500
2026-06-17,229.8000,238.0000,228.4300,231.0000,231.0000,878400
2026-06-18,240.0500,246.5100,237.9600,245.4900,245.4900,999800
2026-06-22,245.6700,248.0000,244.1000,246.9100,246.9100,714400
2026-06-23,216.0000,228.7600,216.0000,227.8000,227.8000,612900
2026-06-24,218.1700,220.3700,215.2200,220.3300,220.3300,722000
2026-06-25,238.0000,238.0000,225.9800,234.0000,234.0000,914400
