Date,Open,High,Low,Close,AdjClose,Volume
2026-03-24,173.2400,183.0000,168.1800,180.8200,180.8200,4585400
2026-03-25,190.7600,195.3600,180.8200,188.7400,188.7400,5936000
2026-03-26,180.7200,188.3400,172.1500,174.6800,174.6800,5473000
2026-03-27,169.3000,179.4000,168.1700,171.9200,171.9200,4198200
2026-03-30,172.1800,173.4800,153.2600,158.5800,158.5800,5167800
2026-03-31,168.9200,175.5900,164.0900,175.4800,175.4800,3408800
2026-04-01,177.0300,187.9800,175.6800,187.0700,187.0700,3355300
2026-04-02,178.9900,198.9400,176.0000,197.8000,197.8000,3455900
2026-04-06,197.2000,203.1800,187.8100,190.1900,190.1900,2591900
2026-04-07,189.4400,193.6500,183.4900,190.8600,190.8600,1447600
2026-04-08,208.3100,209.0300,198.0000,203.6800,203.6800,3138800
2026-04-09,206.8600,212.0000,199.0800,203.8200,203.8200,2087800
2026-04-10,206.0000,211.8300,201.6200,203.5900,203.5900,1961700
2026-04-13,203.0900,209.9400,199.9600,209.4700,209.4700,2829400
2026-04-14,210.1500,215.1600,196.6900,214.1100,214.1100,3001200
2026-04-15,213.8100,219.4600,208.6200,215.6300,215.6300,1845200
2026-04-16,215.2600,217.2200,205.7200,214.7500,214.7500,2168300
2026-04-17,219.9000,227.2300,215.1200,226.4500,226.4500,2254300
2026-04-20,224.4100,228.7300,217.6600,224.4900,224.4900,2221200
2026-04-21,221.0000,225.8100,211.5900,216.7200,216.7200,2021700
2026-04-22,221.4100,222.8000,201.5000,206.1000,206.1000,4192400
2026-04-23,208.3300,213.2700,193.2500,201.2700,201.2700,3891300
2026-04-24,203.0000,207.4800,192.5200,200.5400,200.5400,3224800
2026-04-27,201.2800,205.2900,194.9100,203.3300,203.3300,2518300
2026-04-28,194.0000,194.8100,184.1400,193.5500,193.5500,2812200
2026-04-29,197.4700,200.7300,189.0700,199.1800,199.1800,2109000
2026-04-30,203.1400,221.7700,200.8500,221.0500,221.0500,2649800
2026-05-01,215.3300,223.5700,213.0100,218.0100,218.0100,1445700
2026-05-04,218.0300,220.9900,208.3100,215.0600,215.0600,1634900
2026-05-05,223.1800,228.9900,217.6000,225.5300,225.5300,1695500
2026-05-06,232.6700,232.6700,214.0100,216.8700,216.8700,2319500
2026-05-07,211.8400,213.8700,200.8900,210.0000,210.0000,2779200
2026-05-08,215.1100,216.3100,205.3300,211.0200,211.0200,1597900
2026-05-11,212.3600,230.6000,211.9800,228.8800,228.8800,2691800
2026-05-12,222.7300,224.1600,209.7600,220.8300,220.8300,2338700
2026-05-13,253.9500,271.9200,243.5000,270.7700,270.7700,6109900
2026-05-14,267.9700,283.4600,262.0000,280.6900,280.6900,3404100
2026-05-15,274.8600,278.5000,262.2400,273.9800,273.9800,2218700
2026-05-18,272.8500,277.8500,240.8300,248.0700,248.0700,3271500
2026-05-19,240.9000,258.5600,235.7100,251.2800,251.2800,2879400
2026-05-20,258.2500,268.4400,256.7700,264.4800,264.4800,1746800
2026-05-21,260.3300,279.6600,259.6500,279.0100,279.0100,1562200
2026-05-22,287.6600,288.1900,279.0100,283.4300,283.4300,1383500
2026-05-26,300.0000,302.8600,273.9700,288.5300,288.5300,2504300
2026-05-27,288.8900,290.0700,273.0000,277.7900,277.7900,1454300
2026-05-28,287.2600,289.8900,269.6100,275.5000,275.5000,1357700
