Date,Open,High,Low,Close,AdjClose,Volume
2025-02-27,33.2400,33.9100,33.1200,33.8500,31.9579,17136600
2025-02-28,33.6600,34.3600,33.2520,34.2900,32.3733,15640800
2025-03-03,34.7200,35.0450,34.2050,34.3800,32.4582,3192600
2025-03-04,33.3300,34.0800,32.4100,33.3200,31.4575,8209400
2025-03-05,33.4550,34.3800,33.4550,34.2400,32.3261,5090000
2025-03-06,32.9700,33.5250,32.8050,33.1000,31.2498,7138200
2025-03-07,33.6900,34.1800,33.2900,34.1500,32.2411,6734200
2025-03-10,32.7350,32.8600,31.6450,31.8800,30.0980,7367000
2025-03-11,31.6800,31.8050,31.0200,31.3800,29.6259,6007500
2025-03-12,31.9600,32.0350,31.6400,31.9400,30.1546,3057200
2025-03-13,31.8500,31.9000,31.5600,31.7100,29.9375,1876700
2025-03-14,32.2500,32.8450,32.1900,32.7300,30.9005,7312500
2025-03-17,33.0000,33.5650,32.9800,33.4200,31.5519,2317000
2025-03-18,33.6400,34.1950,33.4700,33.8500,31.9579,4182400
2025-03-19,32.8700,33.2750,32.8150,33.0700,31.2215,2862400
2025-03-20,32.3700,33.0900,32.3600,32.9900,31.1459,3961700
2025-03-21,32.5200,32.9000,32.4950,32.7400,30.9099,4153000
2025-03-24,32.9500,33.1000,32.8150,32.9600,31.1176,2763300
2025-03-25,33.6100,33.8000,33.4800,33.6700,31.7879,2730300
2025-03-26,33.6400,33.7850,33.1100,33.2100,31.3536,2028300
2025-03-27,32.0100,32.1300,31.7300,31.9100,30.1263,4000200
2025-03-28,31.8200,31.8400,31.4400,31.5600,29.7959,3489700
2025-03-31,30.4350,30.7550,30.1390,30.6300,28.9179,2974400
2025-04-01,30.8100,30.8100,30.1600,30.3500,28.6535,3085100
2025-04-02,29.9700,30.5750,29.9650,30.4500,28.7479,2842600
2025-04-03,28.8300,28.9800,28.1750,28.2200,26.6426,4070900
2025-04-04,27.5100,27.6200,26.0800,26.7600,25.2642,6537500
2025-04-07,26.0400,27.8900,25.7830,26.6500,25.1603,6953000
2025-04-08,27.6700,27.7600,25.7450,26.1200,24.6600,4749900
2025-04-09,26.0000,28.5850,25.8300,28.4200,26.8314,6301900
2025-04-10,27.6800,27.9000,26.9250,27.5300,25.9911,3993400
2025-04-11,27.7400,28.6300,27.6800,28.4400,26.8503,3697800
2025-04-14,28.5500,28.9150,28.4100,28.6600,27.0580,3232800
2025-04-15,28.9900,29.1100,28.8500,28.9000,28.1732,2655900
2025-04-16,28.0000,28.1400,27.6050,27.8100,27.1106,2206400
2025-04-17,28.0000,28.2300,27.9300,27.9400,27.2374,3102300
2025-04-21,27.9100,28.0400,27.4000,27.6100,26.9157,2287500
2025-04-22,28.1000,28.6100,28.0800,28.5400,27.8223,2416900
2025-04-23,29.4800,29.7950,29.0450,29.0800,28.3487,3202000
2025-04-24,29.4200,29.8500,29.3300,29.8100,29.0603,2756100
2025-04-25,29.7800,30.1000,29.7500,30.0200,29.2650,2349200
2025-04-28,30.0700,30.3850,30.0500,30.2800,29.5185,2463800
2025-04-29,30.3700,30.5500,30.2750,30.5100,29.7427,2280300
2025-04-30,30.0600,30.3000,29.7300,30.2300,29.4698,3889700
2025-05-01,30.2200,30.5200,30.1000,30.1400,29.3820,3937500
2025-05-02,30.5300,30.8100,30.5200,30.7100,29.9377,2956300
2025-05-05,30.8900,31.0600,30.7500,30.7700,29.9962,2099000
2025-05-06,30.7300,30.9100,30.6800,30.6800,29.9084,1542300
2025-05-07,30.8700,31.0350,30.7800,30.8800,30.1034,2017900
2025-05-08,31.2500,31.4050,31.0300,31.0800,30.2984,3629300
2025-05-09,31.3650,31.5300,31.2850,31.5100,30.7176,4355800
2025-05-12,32.1100,32.2250,31.8350,32.1600,31.3512,5194100
2025-05-13,32.3100,32.7000,32.2550,32.4900,31.6729,3912900
2025-05-14,32.7600,32.8500,32.5950,32.7300,31.9069,2238400
2025-05-15,33.0400,33.3250,32.9400,33.2800,32.4431,2821200
2025-05-16,32.9700,33.1800,32.9400,33.0400,32.2091,2660000
2025-05-19,33.3600,33.8600,33.2900,33.7500,32.9012,5737700
2025-05-20,32.4800,32.6350,32.1800,32.2800,31.4682,4336400
2025-05-21,32.5800,32.6000,31.9500,31.9700,31.1660,3650000
2025-05-22,31.9600,32.2850,31.9150,32.1200,31.3122,2652300
2025-05-23,31.5200,31.8700,31.5000,31.7400,30.9418,2216300
2025-05-27,31.9100,32.0950,31.8300,32.0400,31.2342,1913000
2025-05-28,31.7900,31.8200,31.5900,31.5900,30.7956,2012000
2025-05-29,31.8300,31.8300,31.5100,31.6400,30.8443,2209200
2025-05-30,31.7300,31.9750,31.4900,31.8900,31.0880,3932100
2025-06-02,31.8100,32.0450,31.6900,31.9300,31.1270,4053500
2025-06-03,33.0400,33.5000,32.9000,33.4500,32.6088,4443700
2025-06-04,32.8900,33.0600,32.8150,32.8400,32.0141,2424200
2025-06-05,32.5700,32.8900,32.5300,32.8500,32.0239,2394100
2025-06-06,34.0900,34.5600,33.5050,33.6200,32.7745,7079200
2025-06-09,33.4000,33.4200,32.5700,32.9300,32.1019,4389700
2025-06-10,32.0000,32.4900,31.9600,32.2400,31.4292,3100600
2025-06-11,32.8400,32.8750,32.5900,32.7100,31.8874,1775300
2025-06-12,32.5900,32.8400,32.5500,32.6700,31.8484,1442900
2025-06-13,32.1000,32.2450,31.8700,31.9800,31.1758,1846300
2025-06-16,32.0500,32.3050,31.9800,32.0300,31.2245,1617200
2025-06-17,31.7700,31.8500,31.5400,31.5800,30.7858,1357200
2025-06-18,30.8400,31.0100,30.7100,30.7700,29.9962,2468200
2025-06-20,30.7600,30.8400,30.3600,30.4200,29.6550,4216300
2025-06-23,30.4550,31.0750,30.3900,31.0600,30.2789,2959300
2025-06-24,31.6900,32.1750,31.6200,32.0500,31.2440,2324600
2025-06-25,32.1700,32.2700,32.0300,32.2500,31.4390,2034700
2025-06-26,32.7900,33.1300,32.6900,33.0700,32.2383,2143500
2025-06-27,33.4500,33.6200,33.2550,33.4400,32.5990,2446200
2025-06-30,33.6500,33.8500,33.6100,33.8200,32.9695,2511600
2025-07-01,33.4800,33.8700,33.4800,33.7700,32.9207,2058400
2025-07-02,34.5300,34.8300,34.4300,34.7700,33.8956,3782300
2025-07-03,35.0050,35.1000,34.7300,34.8800,34.0028,2181000
2025-07-07,34.5000,34.6100,34.0700,34.1700,33.3107,2598000
2025-07-08,34.9000,35.2150,34.7450,35.1700,34.2855,2685900
2025-07-09,35.8100,36.0000,35.5850,35.8000,34.8997,3283900
2025-07-10,36.0000,36.2350,35.9900,36.1100,35.2019,2226500
2025-07-11,35.7500,35.8100,35.5750,35.6900,34.7925,1497500
2025-07-14,35.4300,35.7750,35.3900,35.6700,34.7730,1466600
2025-07-15,35.8900,35.9000,35.3950,35.4100,34.5195,1749700
2025-07-16,35.5700,35.9880,35.4200,35.9700,35.0654,2357500
2025-07-17,35.7600,36.0750,35.7500,36.0400,35.1337,2763400
2025-07-18,36.2800,36.2800,35.9350,36.0200,35.1142,1430800
2025-07-21,36.1100,36.5850,36.0700,36.3000,35.3871,1294500
2025-07-22,36.7200,37.0550,36.5700,37.0000,36.0695,2095100
2025-07-23,37.5600,38.1300,37.5300,38.1300,37.1711,2427800
2025-07-24,38.2500,38.4100,38.1800,38.2100,37.2491,2184300
2025-07-25,38.2400,38.4200,38.0950,38.4100,37.4441,1500700
2025-07-28,37.9500,37.9700,37.7450,37.7800,36.8299,1236300
2025-07-29,37.9500,38.1450,37.7250,38.0000,37.0444,2268200
2025-07-30,38.0250,38.2950,37.7600,37.9300,36.9761,2560800
2025-07-31,37.4900,37.5600,37.2000,37.3300,36.3912,2500100
2025-08-01,36.7100,36.7950,35.9400,36.6700,35.7478,3697600
2025-08-04,37.5600,37.5600,37.2550,37.3500,36.4107,1483600
2025-08-05,37.5800,37.6750,37.2600,37.5400,36.5959,1757200
2025-08-06,37.9000,38.1600,37.7850,38.0400,37.0834,1850700
2025-08-07,39.0600,39.2000,38.7200,38.9400,37.9607,2573600
2025-08-08,39.3500,39.7100,39.2400,39.5400,38.5456,1744700
2025-08-11,39.2900,39.3200,38.6300,38.8000,37.8242,3700500
2025-08-12,39.2200,39.5700,39.1300,39.5500,38.5554,2209000
2025-08-13,39.5100,39.6950,39.4700,39.6500,38.6529,1342600
2025-08-14,39.5600,39.8700,39.5100,39.8600,38.8576,1128300
2025-08-15,40.2000,40.2100,39.8700,39.9200,38.9161,1957800
2025-08-18,39.6400,39.8300,39.4550,39.6900,38.6919,2070000
2025-08-19,40.0000,40.0000,39.5300,39.5600,38.5651,1699000
2025-08-20,39.4500,39.8400,39.1950,39.7400,38.7406,1691000
2025-08-21,39.3400,39.5250,39.2750,39.4900,38.4969,1622000
2025-08-22,39.8400,40.4150,39.8100,40.3800,39.3645,1333300
2025-08-25,40.3400,40.4400,40.1700,40.1900,39.1793,1028800
2025-08-26,39.9000,40.5750,39.8600,40.5500,39.5302,2201500
2025-08-27,40.3000,40.3950,40.0500,40.1600,39.1500,1618600
2025-08-28,40.3700,40.7100,40.3350,40.6000,39.5790,1525700
2025-08-29,40.4400,40.6000,40.3400,40.5200,39.5010,1241100
2025-09-02,39.3000,39.6600,39.1850,39.6600,38.6626,1903800
2025-09-03,39.6000,39.7700,39.4850,39.7600,38.7601,1356000
2025-09-04,40.0700,40.4600,40.0300,40.4300,39.4133,1304200
2025-09-05,40.8100,40.9000,40.0850,40.3600,39.3450,2085600
2025-09-08,40.6700,40.7100,40.3500,40.5400,39.5205,1603300
2025-09-09,39.8300,40.1960,39.7200,40.0100,39.0038,1789100
2025-09-10,40.0100,40.2400,39.9500,40.1100,39.1013,1231100
2025-09-11,40.4000,40.9250,40.4000,40.9000,39.8714,1900700
2025-09-12,40.6400,40.7800,40.4600,40.7300,39.7057,1272400
2025-09-15,41.3600,41.7000,41.3600,41.5900,40.5441,1745800
2025-09-16,41.3600,41.4000,41.1450,41.3200,40.2809,1336300
2025-09-17,41.4300,41.7050,41.1350,41.4300,40.3881,1480000
2025-09-18,41.1900,41.5700,41.0890,41.5300,40.4856,1248200
2025-09-19,42.2900,42.3800,41.9700,42.2900,41.2265,1765400
2025-09-22,42.0000,42.4400,41.9000,42.3800,41.3142,1196600
2025-09-23,42.2900,42.5650,42.0150,42.0800,41.0218,1314100
2025-09-24,41.8000,41.8400,41.4700,41.5300,40.4856,1218400
2025-09-25,40.3700,40.5800,40.2650,40.4800,39.4620,1905900
2025-09-26,40.5900,40.8250,40.5800,40.7700,39.7447,1402900
2025-09-29,41.0600,41.3850,40.6700,41.3300,40.2906,3145000
2025-09-30,41.0500,41.1800,40.6300,41.0000,39.9689,1857500
2025-10-01,40.8100,40.8600,40.3550,40.4200,39.4035,1541300
2025-10-02,40.2700,40.4050,39.9200,40.3400,39.3255,1739600
2025-10-03,41.0000,41.2160,40.9100,41.1000,40.0664,1142400
2025-10-06,41.1100,41.1350,40.7550,41.0400,40.0079,820400
2025-10-07,40.9900,41.0800,40.6880,40.9100,39.8812,2388000
2025-10-08,41.1300,41.1700,40.6400,40.6700,39.6472,1540100
2025-10-09,40.3700,40.3800,39.8100,40.1300,39.1208,1827000
2025-10-10,40.5400,40.6500,39.6500,39.7400,38.7406,1876000
2025-10-13,40.1600,40.4750,40.1300,40.3900,39.3743,1022100
2025-10-14,39.5100,40.2250,39.3400,39.9900,38.9843,2456800
2025-10-15,39.1600,39.3700,38.9300,39.0800,38.0972,2098600
2025-10-16,39.3200,39.4300,38.8000,38.8700,37.8925,1792800
2025-10-17,38.3600,38.5750,38.0400,38.4900,37.5220,2160400
2025-10-20,38.1300,38.3600,38.0700,38.3600,37.3953,2845600
2025-10-21,37.7300,37.8300,37.5400,37.5600,36.6154,3122100
2025-10-22,37.9500,38.0850,37.7750,38.0600,37.1029,1867700
2025-10-23,38.3600,38.3700,38.1100,38.2200,37.2588,1148500
2025-10-24,38.0300,38.2350,37.9100,38.0200,37.0639,1542900
2025-10-27,38.4900,38.8000,38.4200,38.6000,37.6293,1503600
2025-10-28,38.9900,39.2050,38.8900,39.0900,38.1070,2203500
2025-10-29,38.5750,38.8650,38.1200,38.2800,37.3173,2942400
2025-10-30,38.1600,38.4200,38.0150,38.0300,37.0736,1661500
2025-10-31,38.1400,38.4250,37.9900,38.3600,37.3953,1782900
2025-11-03,37.9700,38.0700,37.6750,37.9700,37.0151,1345500
2025-11-04,37.3200,37.9400,37.2300,37.8700,36.9176,3137800
2025-11-05,38.6500,38.6900,38.3500,38.3700,37.4051,1950400
2025-11-06,38.3700,38.4700,37.9550,38.0400,37.0834,1224000
2025-11-07,37.6100,38.3100,37.4900,38.3100,37.3466,1501100
2025-11-10,38.3600,38.5100,38.1750,38.4300,37.4636,2133200
2025-11-11,38.9400,39.1350,38.9100,38.9800,37.9997,1332100
2025-11-12,39.5000,39.8000,39.4900,39.6000,38.6041,1334400
2025-11-13,39.6900,39.8400,39.0600,39.0700,38.0875,1668800
2025-11-14,38.6300,39.0400,38.4900,38.9200,37.9412,1545500
2025-11-17,38.7900,38.8850,38.1100,38.2500,37.2881,2165500
2025-11-18,37.8100,38.2100,37.7300,38.0300,37.0736,1979200
2025-11-19,38.1100,38.2650,37.9100,38.2000,37.2393,1307500
2025-11-20,37.7100,38.1400,36.7800,36.7900,35.8648,2701200
2025-11-21,37.0400,37.2000,36.6550,37.0700,36.1378,1990000
2025-11-24,36.6100,36.8950,36.4440,36.7900,35.8648,1973800
2025-11-25,37.2900,37.6400,37.0950,37.5900,36.6447,1350300
2025-11-26,38.0500,38.1950,37.9850,38.0500,37.0931,1192600
2025-11-28,38.3100,38.6800,38.3000,38.6000,37.6293,1039800
2025-12-01,38.4700,38.6800,38.3900,38.4800,37.5123,1233300
2025-12-02,38.6000,38.7700,38.5500,38.7400,37.7658,898900
2025-12-03,38.3300,38.8500,38.3300,38.8400,37.8632,1169100
2025-12-04,38.9000,39.1150,38.7950,38.8100,37.8340,1148700
2025-12-05,39.2500,40.7800,39.2200,40.6400,39.6180,6308300
2025-12-08,40.9000,41.2200,40.7950,41.0100,39.9787,2381500
2025-12-09,40.9600,41.4450,40.9600,41.2900,40.2516,1958000
2025-12-10,41.2800,41.7400,41.0400,41.6100,40.5636,1581000
2025-12-11,42.1800,42.7700,42.0800,42.6800,41.6067,2376700
2025-12-12,43.4550,43.7600,43.0400,43.2100,42.1233,2518900
2025-12-15,43.1600,43.2000,42.6740,42.6900,41.6164,1981300
2025-12-16,44.3700,44.9450,44.2500,44.8000,43.6734,3920800
2025-12-17,45.2500,45.3500,44.8250,44.8400,43.7123,1940200
2025-12-18,45.7800,46.4900,45.7700,46.1000,44.9407,2523100
2025-12-19,46.1900,46.6600,46.0140,46.2800,45.1161,5381500
2025-12-22,46.2900,46.5600,46.2600,46.4300,45.2624,1759900
2025-12-23,46.6600,46.9500,46.6300,46.8700,45.6913,1576600
2025-12-24,47.0000,47.2900,46.9000,47.2100,46.0227,665100
2025-12-26,47.2000,47.3050,47.0750,47.2700,46.0812,957000
2025-12-29,46.5000,46.5700,46.3000,46.5500,45.3793,1951500
2025-12-30,46.6800,46.7950,46.4950,46.5200,45.3501,1002000
2025-12-31,46.3300,46.5500,46.2800,46.3100,45.1454,1040600
2026-01-02,46.6000,47.1760,46.5150,47.1000,45.9155,1671400
2026-01-05,47.2800,48.4300,47.2500,48.1100,46.9001,3103300
2026-01-06,47.5900,47.6700,47.0200,47.2500,46.0617,2554700
2026-01-07,47.1300,47.4400,46.7000,47.3000,46.1105,3444300
2026-01-08,47.3500,47.4900,47.1950,47.2400,46.0520,2202200
2026-01-09,47.5300,47.7000,47.3050,47.5700,46.3737,2379600
