ticker,buy_date,buy_price,shares,fallback_price
RCRUY,2025-11-18,9.86,31,20.3
DBSDY,2025-01-15,127.2,2,236.75
SMFG,2025-01-31,14.88,16,25.78
IX,2025-08-06,23.79,16,39.16
UBS,2025-02-27,33.85,11,52.93
PCRHY,2026-04-27,19.57,17,28.7
SAN,2025-09-19,10.24,25,14.245
ING,2025-11-13,26.2,9,35.39
TSEM,2026-03-24,180.82,2,239.86
MUFG,2026-05-01,17.69,20,22.685
BRDCY,2025-07-16,10.1,32,12.65
SAFRY,2026-06-10,83.92,3,102.55
IMO,2026-06-30,112.02,2,134.85
TOELY,2026-04-23,143.6,2,170.67
CRH,2025-04-08,80.35,4,93.6
MFG,2026-02-23,9.19,40,10.6162
BBVA,2026-01-28,25.14,13,28.7383
RNECY,2026-05-01,10.1,30,11.39
HMC,2025-03-12,29.01,9,32.005
TEVA,2026-06-05,34.19,7,37.01
KYOAY,2026-07-20,22.04,19,23.41
ATEYY,2026-08-05,209.06,2,217.04
REPYY,2026-08-17,31.52,11,31.81
EADSY,2026-01-13,64.09,5,60.9
SSUMY,2026-05-14,11.98,23,10.92
ASML,2026-06-30,1989.4399,1,1798.115
KXIAY,2026-08-17,38.75,6,33.93
